	gene	leverage
18440	Gm26228	0.03911677002906799
23867	Gm44074	0.0359295979142189
15575	Gm21956	0.035027727484703064
32402	Mir8105	0.034803714603185654
43965	Trim50	0.03326955437660217
19177	Gm27221	0.03263121843338013
41093	Skor2	0.03117232210934162
42056	Sppl2c	0.031126607209444046
14601	Gm18301	0.030557474121451378
18708	Gm26599	0.029584819450974464
42439	Supt7l	0.029266076162457466
35685	Pcdha6	0.02906157076358795
17913	Gm25423	0.028107937425374985
40881	Sez6	0.02671421691775322
22246	Gm42418	0.026394305750727654
2379	AV064505	0.025479678064584732
46288	mt-Nd2	0.025401735678315163
9630	Gm10925	0.024844607338309288
4253	Bpifa6	0.02416682243347168
20997	Gm37101	0.02396366372704506
46287	mt-Nd1	0.023676283657550812
29863	Insrr	0.023542428389191628
6451	Cyp2f2	0.02323959767818451
46281	mt-Atp6	0.022828366607427597
19786	Gm28661	0.02272065356373787
46286	mt-Cytb	0.022677822038531303
46290	mt-Nd4	0.02233028970658779
11493	Gm13341	0.022289160639047623
46285	mt-Co3	0.022272758185863495
19658	Gm28438	0.02207237295806408
6036	Cpe	0.022059280425310135
40562	Scgb1c1	0.021940331906080246
46289	mt-Nd3	0.02153753861784935
44221	Ttr	0.021436890587210655
27668	Gm8909	0.021155348047614098
11491	Gm13339	0.021048687398433685
28598	H2-Q3	0.020876271650195122
31289	Malat1	0.02077886089682579
11492	Gm13340	0.020655445754528046
19657	Gm28437	0.020628895610570908
2342	AI661453	0.02057838812470436
19143	Gm27176	0.020136157050728798
20485	Gm31463	0.019852878525853157
35766	Pcp4	0.019778765738010406
952	4631405J19Rik	0.019620003178715706
46283	mt-Co1	0.019378837198019028
30453	Klk4	0.019132904708385468
4657	Camk2n1	0.018898120149970055
46284	mt-Co2	0.018867751583456993
35314	Olfr965	0.018855374306440353
8882	Gad1	0.018838372081518173
20079	Gm29216	0.018721943721175194
22479	Gm42650	0.018610389903187752
43866	Trbv2	0.018405618146061897
41169	Slc1a2	0.018295638263225555
46294	mt-Rnr1	0.018284954130649567
46295	mt-Rnr2	0.01818663626909256
23736	Gm43935	0.018149977549910545
46292	mt-Nd5	0.018099553883075714
85	1520401A03Rik	0.017956722527742386
39692	Rn18s-rs5	0.01782652921974659
40797	Serpina1d	0.01781165786087513
6452	Cyp2g1	0.017675871029496193
22705	Gm42872	0.017436936497688293
13679	Gm16029	0.01731138303875923
19017	Gm26917	0.01696919836103916
44708	Vil1	0.016816167160868645
12701	Gm14858	0.016798678785562515
42336	Stpg4	0.016560832038521767
46307	mt-Tm	0.01608758606016636
6230	Cst3	0.016021493822336197
6398	Cyp19a1	0.01597459241747856
45461	Wnt8b	0.015747802332043648
34016	Olfr1050-ps1	0.015736548230051994
28035	Gm9867	0.01563337817788124
5649	Clca4a	0.015559314750134945
1228	4930488N15Rik	0.015530645847320557
37528	RP23-197F5.3	0.015426833182573318
41927	Sparcl1	0.014701860025525093
8765	Fth1	0.014529526233673096
46240	Zscan10	0.014493608847260475
3560	Asb2	0.014380973763763905
10080	Gm11690	0.014173388481140137
2988	Aldoc	0.01408394519239664
36663	Ppp3ca	0.014052575454115868
33680	Nrgn	0.013945468701422215
31021	Lrrc17	0.013894113712012768
17261	Gm2448	0.013871490955352783
6313	Ctxn3	0.01368917990475893
28133	Gnas	0.013678619638085365
7752	Enpp2	0.013665908947587013
15223	Gm20594	0.013402525335550308
4763	Catsper1	0.013377002440392971
46300	mt-Tf	0.01329581718891859
46227	Zp1	0.01326744258403778
36344	Plp1	0.013165906071662903
43482	Tmsb4x	0.013096182607114315
33522	Nnat	0.012818008661270142
7080	Dnah17	0.012802425771951675
6046	Cplx1	0.012718711979687214
46308	mt-Tn	0.01267570722848177
42319	Stmn1	0.012630422599613667
593	1810012K08Rik	0.012583030387759209
8885	Gad2	0.012560432776808739
35446	Otp	0.012519805692136288
46303	mt-Ti	0.012369874864816666
8460	Fcrlb	0.012369452975690365
2611	Actb	0.012366999872028828
41653	Snap25	0.012309295125305653
37087	Ptgds	0.012259184382855892
30787	Lefty1	0.012252867221832275
36138	Pip5k1a	0.012085204012691975
3305	Apoe	0.012073701247572899
7281	Dsp	0.012031959369778633
3824	B230112J18Rik	0.011971510946750641
43477	Tmsb10	0.011917674914002419
46315	mt-Tv	0.01181605365127325
4856	Ccdc153	0.011810297146439552
33235	Ndrg4	0.01172060426324606
3286	Aplp1	0.011661128140985966
31584	Meg3	0.011571256443858147
33951	Olfm1	0.011558090336620808
9196	Glul	0.011456592939794064
31470	Mbp	0.011352580972015858
26813	Gm7030	0.01134954858571291
3691	Atp2b1	0.01131762471050024
40095	Rplp1	0.011277648620307446
4783	Cbln1	0.011263065040111542
43956	Trim42	0.011230593547224998
4429	C1ql2	0.01122573483735323
32816	Mt1	0.011182300746440887
46306	mt-Tl2	0.011168996803462505
46305	mt-Tl1	0.01116630807518959
23554	Gm43743	0.011017803102731705
4786	Cbln4	0.010951106436550617
36780	Prkcd	0.010934579186141491
35324	Olfr975	0.01091284491121769
27973	Gm9745	0.010871567763388157
46291	mt-Nd4l	0.010799109004437923
41170	Slc1a3	0.010797408409416676
36515	Popdc2	0.010792572982609272
36529	Pou3f1	0.010733968578279018
9841	Gm11410	0.010593067854642868
29065	Hpca	0.01055830903351307
3328	App	0.010533959604799747
46069	Zfp869	0.010506106540560722
5777	Clu	0.01050471980124712
17156	Gm24319	0.010497011244297028
22654	Gm42822	0.010440610349178314
33715	Nsmf	0.010438134893774986
4963	Cck	0.010327955707907677
33136	Nap1l5	0.010324033908545971
28791	Hexb	0.010277287103235722
37083	Ptf1a	0.010276751592755318
3683	Atp1b1	0.010256219655275345
44226	Tuba1a	0.010211196728050709
40206	Rps21	0.010181938298046589
37118	Ptn	0.010160848498344421
42273	Stat5a	0.010143651627004147
44135	Tspyl4	0.01012717466801405
33570	Nov	0.010117823258042336
22589	Gm42759	0.010114073753356934
5665	Cldn11	0.010073685087263584
6290	Ctsd	0.010064845904707909
42795	Tcf7l2	0.010056919418275356
36280	Plcxd2	0.01004194375127554
33178	Ncald	0.009988796897232533
31228	Macrod2os1	0.009961140342056751
2724	Adcy1	0.009955288842320442
32541	Mobp	0.00994413997977972
30755	Lcn5	0.00993722677230835
8930	Gap43	0.00992929469794035
3694	Atp2b4	0.009885035455226898
8553	Fibcd1	0.009829279035329819
46310	mt-Tq	0.009806562215089798
6259	Ctgf	0.009805968962609768
45427	Wfs1	0.009771086275577545
30406	Klhl31	0.009758986532688141
1808	6330420H09Rik	0.009728029370307922
12233	Gm14258	0.009701346978545189
40059	Rpl41	0.009668393060564995
5333	Celf4	0.009661884047091007
4653	Camk2a	0.00965085905045271
26475	Gm6272	0.009639923460781574
12382	Gm14460	0.009600713849067688
30706	Lars2	0.00956708937883377
41309	Slc32a1	0.00949836801737547
8123	Fam163b	0.00947511289268732
31581	Mef2c	0.009447410702705383
35905	Penk	0.009383962489664555
33623	Nptxr	0.009363295510411263
33192	Ncdn	0.00933605246245861
46309	mt-Tp	0.009320663288235664
31287	Mal	0.00928600411862135
28242	Gpm6b	0.009235749952495098
42029	Spink8	0.009226465597748756
3304	Apod	0.00919274054467678
4906	Ccdc42	0.0091886380687356
8863	Gabra1	0.0091865174472332
30013	Itm2b	0.009158887900412083
44430	Uchl1	0.00912921316921711
43551	Tnni2	0.009076375514268875
918	3110035E14Rik	0.009076189249753952
3680	Atp1a2	0.0090549997985363
6047	Cplx2	0.009047888219356537
28319	Gpr88	0.009042237885296345
42376	Stxbp6	0.009026535786688328
39226	Ramp3	0.0090034119784832
33353	Neurod6	0.008996925316751003
5493	Chchd2	0.008983091451227665
35769	Pcsk1n	0.008878860622644424
31186	Lypd6b	0.008870279416441917
37188	Pvalb	0.008855784311890602
4052	Basp1	0.00884702242910862
33846	Nxph3	0.008816060610115528
46299	mt-Te	0.00879311840981245
4784	Cbln2	0.00878081377595663
46316	mt-Tw	0.008765038102865219
45967	Zfp647	0.008745318278670311
41671	Snhg11	0.008727817796170712
30763	Lct	0.008701584301888943
29142	Hsp90aa1	0.008695520460605621
15435	Gm2115	0.00865882821381092
41793	Sntn	0.008601254783570766
44350	Ube2d2b	0.008587594144046307
8823	Fzd5	0.00857351254671812
33651	Nr2f2	0.008568175137043
11204	Gm12979	0.008550082333385944
31180	Lypd1	0.008548789657652378
36163	Pitx2	0.008535124361515045
33247	Ndufa4	0.008518237620592117
32818	Mt3	0.0085177943110466
28267	Gpr151	0.008491058833897114
42497	Syn2	0.008475874550640583
43554	Tnnt1	0.008461058139801025
43905	Trf	0.008451095782220364
29102	Hs3st4	0.008438014425337315
41157	Slc17a6	0.008428065106272697
25055	Gm45336	0.008375974372029305
3854	B2m	0.008357731625437737
5847	Cnp	0.008351161144673824
