	gene	leverage
28690	Hba-a1	0.1023260929302319
36385	Pmch	0.07579934343706704
41397	Slc46a3	0.07259194748450543
28698	Hbb-bt	0.07170012766889718
8823	Fzd5	0.0691343811452668
46282	mt-Atp8	0.06801720328210366
869	2810433D01Rik	0.06786049414743109
28691	Hba-a2	0.06758093329359333
30298	Kif15	0.06623846469364522
42744	Tbx1	0.05863881011458855
24929	Gm45212	0.056142932213301834
12753	Gm14915	0.05321762979968971
13418	Gm15728	0.048432881263045055
2951	Akr7a5	0.04808823336601086
13986	Gm16409	0.04321305983946551
39693	Rn7s1	0.0411424723534922
18593	Gm26461	0.04112768582545888
3714	Atp5l-ps1	0.0378174646313737
42887	Tenm1	0.03752639831922316
35260	Olfr912.1	0.03749847488378384
35905	Penk	0.03652340196502842
27677	Gm8925	0.035858871893726336
28697	Hbb-bs	0.03552872113163915
81	1500015O10Rik	0.03466012562874854
17347	Gm24601	0.0333247642696175
31021	Lrrc17	0.03278494671518027
25704	Gm4853	0.03228844790391582
12138	Gm14138	0.03228157493532652
43077	Timm22	0.031101271272679882
15490	Gm21685	0.03047963921553078
39650	Rimbp3	0.03023795084099979
4495	C4b	0.0302258192645557
13246	Gm15536	0.03021472470293124
6232	Cst7	0.03021148482150852
44304	Tyrobp	0.030200732409711873
38624	RP24-243A15.3	0.030139351966686084
9005	Gcn1l1	0.02988285544164904
7763	Entpd4	0.02959276192382841
24339	Gm44609	0.029440290482115303
26015	Gm5426	0.029201365180180346
39989	Rpl30-ps11	0.029192459203377846
36138	Pip5k1a	0.029146523167304095
26020	Gm5435	0.02907851034872801
40035	Rpl36-ps10	0.028895886261814937
40125	Rps11-ps4	0.028763937515004008
42573	Tac1	0.028750132201893812
28319	Gpr88	0.02873362905898724
36780	Prkcd	0.028504448116923212
32134	Mir6240	0.02829253809238545
27956	Gm9703	0.02814010149999079
27959	Gm9712	0.028009528528775456
40257	Rps8-ps4	0.027801419247168033
9384	Gm10343	0.02770301982854652
30353	Kl	0.02762782839887394
9047	Gfap	0.027397304630871606
27300	Gm8145	0.02715748322748935
36529	Pou3f1	0.027085085624810854
26124	Gm5614	0.027030460742339654
40772	Sept5	0.02698884884823777
40018	Rpl31-ps9	0.026601910668561223
6313	Ctxn3	0.02642839287393496
29140	Hsh2d	0.02642168615685683
32132	Mir6236	0.026310615221809008
17239	Gm24447	0.0263055466889432
39987	Rpl30-ps1	0.02587830474639626
5739	Clic6	0.025834157467985955
40122	Rps11-ps1	0.025792838246636
9600	Gm10801	0.025749874861574103
40239	Rps6-ps3	0.025056897525276667
28488	Gtf2h1	0.025051535079905155
22792	Gm42959	0.025028595146969517
16715	Gm2367	0.025000185747439882
40240	Rps6-ps4	0.0249655696617874
39999	Rpl31-ps11	0.02485629242561513
40236	Rps6	0.02481688367434196
20622	Gm3362	0.024571048688488546
18543	Gm26384	0.02445106957123487
43898	Trem2	0.024333147281909752
4786	Cbln4	0.024278027365656513
8350	Fbn1	0.024146393029075106
4784	Cbln2	0.024123728725404976
33626	Npy	0.024029636988557854
39694	Rn7s2	0.02402337885802215
44221	Ttr	0.023918105699417613
40184	Rps19-ps13	0.023829886503167873
3614	Asxl2	0.023515708235697323
4582	Cabp7	0.02350606375382503
40005	Rpl31-ps17	0.023427220795856334
26740	Gm6822	0.023298282517036216
15378	Gm20900	0.0232728489202247
27838	Gm9354	0.023259492138754598
31204	Lyz2	0.02316376045440319
4783	Cbln1	0.022894599014377886
29337	Ift46	0.022858505745394192
8198	Fam212a	0.022835665915488936
29352	Igf2	0.02276639635708598
35030	Olfr685	0.022714008281497975
22209	Gm4045	0.02261472592159408
33651	Nr2f2	0.022541125264829414
18305	Gm26035	0.02232109372450849
42195	Sst	0.022174860737175752
40260	Rpsa-ps1	0.022131551281544072
39956	Rpl23a-ps5	0.02206341495509177
26982	Gm7429	0.022052497123186753
4625	Calb2	0.022027873366151682
46175	Zic1	0.021994754080120513
39995	Rpl30-ps9	0.021984801217237962
29360	Igfbp2	0.021959965299019144
26532	Gm6394	0.021790374374288577
31171	Ly86	0.02177198135641324
39930	Rpl21-ps11	0.021737374617077625
36280	Plcxd2	0.021646332233372652
40254	Rps8-ps1	0.021642297197063967
42580	Taco1os	0.021642060451473374
3715	Atp5l-ps2	0.02161970287182081
42376	Stxbp6	0.021555568048759705
37188	Pvalb	0.021536857397506288
17098	Gm24245	0.02146591988188894
