gene	importance
Cst7	0.028797132885010315
Ctsd	0.023511256271239074
Cst3	0.01910893896426175
Tyrobp	0.017876088560965314
Gfap	0.017761123315219212
Ctss	0.012777350466060431
mt-Rnr2	0.011500096225319686
C4b	0.009309694374254463
mt-Rnr1	0.008192959614616281
B2m	0.007726269664590249
Hexb	0.0065838533212412885
Trem2	0.0063995693430870205
Ctsb	0.005807929131866567
Gm20594	0.005420669087083138
Gm42418	0.005105821774210623
C4a	0.004868832882958335
Camk2a	0.0048656386683681
Tbx1	0.004409721852860847
Lyz2	0.004358485832356196
Snhg11	0.004199554943796312
Ccl6	0.004092050154347896
Kif5a	0.004035909581269671
Camk2n1	0.00374260283925766
Gm26917	0.0036263119270468964
Gm45212	0.0036121622657495234
mt-Tf	0.0035551591128946116
Adcy1	0.0034938922471596037
C1qa	0.0033526276040666486
Ift46	0.0033309632441626174
Sparc	0.0033006610560743247
Apoe	0.0032875743254044674
Nap1l5	0.0032861248671385143
Mef2c	0.0032438167306605677
Mbp	0.003222900204978947
Mobp	0.003099480186438866
Plp1	0.0030553561430382526
C1qb	0.0030485303336211674
Sez6	0.0028133769184511227
Nov	0.002745238588709013
Cck	0.002740996314583601
Cd68	0.002738436338059326
Gm29216	0.0026809030905418085
Lpl	0.0026763001876784777
Fth1	0.0026284351476163464
Nrgn	0.0025830698862189445
Gm10925	0.002580917932144829
Lars2	0.0025757761346388262
Gda	0.0025556640730291335
Enpp2	0.0025553427732430078
RP23-269H21.1	0.002543659902351257
Ndrg2	0.0025431979844463834
Ddn	0.002487912349883817
Chn1	0.0023920013227321218
Selenow	0.002384740170359638
Plekhb1	0.0023731198979279047
Npc2	0.002359199176162955
Clec7a	0.0023541079177954883
Csf1r	0.0023390216047259257
Gria3	0.0023171173128709193
Elob	0.0023149145084488455
Flot1	0.002301782808733116
Slc17a7	0.0023011675426327606
Ndufa4	0.002297415965367708
Arpp19	0.0022865842381233573
Sv2b	0.002277764318369618
Sirpa	0.0022401588354417465
Mpeg1	0.0022336913304115322
Cyp46a1	0.002214386140978061
Zbtb20	0.00216113935212609
C1qc	0.00210895773554365
S100b	0.0020951648459298857
Nptxr	0.0020570546859453426
Ctsz	0.00203291531420233
Gm20721	0.0020322129715186744
Stmn2	0.0020130094034424167
Gap43	0.0020121478246752883
Pcp4	0.0019989247112875094
Rps28	0.0019967950282704355
Timm22	0.001991950191601677
Khdrbs3	0.001980848182731666
Trf	0.001979486837132282
Psd	0.001966223039583648
mt-Co3	0.001964814746474403
Timp2	0.0019545807649993738
Gm28437	0.0019469708061105701
Dlgap1	0.0019382705343755355
Apbb1	0.0019358050640042195
Ramp1	0.001929153029797353
Cldn11	0.0019048777337145
mt-Tc	0.0018958844603316977
Homer1	0.0018926172026619593
Rpl37	0.0018925371627171528
Cspg5	0.0018777172078360681
Gpm6a	0.0018505620991048194
mt-Atp6	0.0018233652614317818
Ndufc1	0.0018142460416991327
Gm15500	0.0018026492346383712
Ttr	0.0017964782879394392
Scrt1	0.001793667003417101
Gm9843	0.0017819478208073616
Supt7l	0.0017684702461641143
Ppp3ca	0.0017510236330102185
Pld3	0.001739744511351454
Nat8l	0.001737643887708161
Psap	0.0017330458517275178
Qdpr	0.0017227318694298123
Ap1s1	0.0017108374892038582
Podxl2	0.0017089861249856859
Ldhb	0.001700404836529649
Selenom	0.0016747553565406596
Lrrc17	0.0016703833911160195
Mal	0.0016686506847321705
Sptbn2	0.0016676056714953857
Rpl32	0.0016623424775495839
Ndufb9	0.0016497837723293378
Rn18s-rs5	0.0016486728452670897
mt-Ta	0.0016434922779162164
Fcrls	0.0016361880275321686
Tmed9	0.0016358065585814817
Tmsb4x	0.0016336180308970957
Gm11410	0.0016276550512152599
Ndufs7	0.0016265587955915015
