gene	importance
Ctsd	0.023523242855478205
Tyrobp	0.017905162048106976
Gfap	0.017082031162968806
Ctss	0.016779554625887465
Cst7	0.015422075905081404
Hexb	0.01381135156378908
Gm42418	0.011767912761535323
Cst3	0.010994544530204134
Apoe	0.010832353831188668
B2m	0.009675041286938309
Trem2	0.009491967985617852
Clec7a	0.009175456078511779
mt-Rnr2	0.009057401040296714
C1qa	0.009047547888079547
Fth1	0.008600278736897596
mt-Rnr1	0.00735365768555787
C4a	0.0072293185236751
Gm45212	0.006870894934221286
Gm26917	0.006508999750819603
Mir6240	0.006296902473797585
Cplx1	0.0061509827214559975
Mpeg1	0.0055578959020868455
Gap43	0.005407071990515409
Trim2	0.005376735997232602
Mbp	0.0051715303417313035
Gm20594	0.005045661385465641
C1qc	0.004961321754054723
Zbtb20	0.0048054429894637115
Ctsb	0.004665939942725083
Tmsb10	0.004455847519577611
Snap25	0.004402525749097146
Mobp	0.004389131536715594
Plekhb1	0.004388638482088608
Hnrnpa3	0.004373536775829507
Gm29216	0.004290888623130854
Lrrc17	0.00413279670569747
Nap1l5	0.004118781063548082
Tbx1	0.0040466090609709475
mt-Cytb	0.003975027145187744
mt-Co3	0.003965960713417635
Selenow	0.0035870868935185605
Rn18s-rs5	0.0035004583719123556
Ttr	0.003400529724509518
Syngr1	0.0033879847087636317
mt-Atp6	0.0033058462743840865
Ift46	0.003304906282228279
Gpnmb	0.0032663896948484272
Sgk1	0.0032286941815990434
Gpm6a	0.003226240411019263
mt-Tc	0.0031989174784554414
RP23-269H21.1	0.003173879913197026
Sez6	0.0031630892582228684
Gm11410	0.0031593267141956888
Gm12251	0.0031496747082971335
Gm10925	0.003140932372666107
Ly86	0.0030703931764669025
Fcrls	0.002998894100402577
Ankrd13c	0.0029645740826826387
Nefh	0.002850220343974978
Vps8	0.002847064808603742
Wdr89	0.002827729801506778
Pkp4	0.0027976005356704094
Prosc	0.0027686759862670315
Camkv	0.0027619345784370866
Tulp4	0.0027612294070191675
Cotl1	0.002755903307191613
Nat8l	0.002755175353851415
mt-Tn	0.0027409306504062817
Supt7l	0.0027251559309818428
Ywhab	0.00270873013426958
Timm22	0.002697339269484155
Pkm	0.0026714263259455047
Npdc1	0.0026406007426845487
Gm28437	0.0026005713045584265
Gpx4	0.0025943907802144163
Lars2	0.002591079704136432
Ndufa3	0.002577246889154855
mt-Co1	0.002547372238580831
Gars	0.0025440764107565405
Gm2a	0.0025311292237851666
Gpi1	0.002510806287663909
mt-Tf	0.0024844876898947638
Sirt2	0.0024837454555226234
Ftl1	0.0024702770230374707
2900011O08Rik	0.0024536162056120712
Pip5k1a	0.0024327497439412507
Plcxd2	0.002419125370832643
Reep5	0.0024095643161455957
Prnp	0.002401150021213951
Pvalb	0.002386776824082334
Ldhb	0.0023621032197025677
Csf1r	0.0023386206412010133
C1qb	0.002331493639120534
Selenom	0.0022900512068081908
Ppp3ca	0.002282741157169239
Enpp2	0.0022813500430792816
Syt1	0.0022794390851426597
Rnf167	0.002267470172744926
Rheb	0.0022656216094834197
mt-Nd1	0.0022524275624228535
Ncdn	0.0022357763539872103
Calr	0.0022219585267303655
mt-Tm	0.0022042333769089254
mt-Tl2	0.0022011716894658005
Emc10	0.002186979043800908
Cd34	0.0021833008826463653
Nrsn1	0.0021691720027860882
Apod	0.0021514804452986477
Ndufs2	0.002146495009043202
Zcchc12	0.0021389904436885363
Itm2b	0.002114384262914129
Laptm4b	0.002112946719193194
Gm5239	0.002103221499553489
Ctsz	0.0020947540915797476
Rtn1	0.002081253056896872
Atp6v0b	0.0020658181690019796
Aplp2	0.0020587038156510895
Fkbp1a	0.0020555640912256834
Nrgn	0.0020495106370893657
Abca2	0.002043490073593032
Akr7a5	0.002036926176154371
Clstn1	0.002031480482788588
Serinc1	0.0020146777512870992
Gm3786	0.0020139318044493054
Aes	0.0020113180854589986
Stmn1	0.002010171360688465
Gm28661	0.001982054157998099
Gm15500	0.0019788318100813686
Ckb	0.0019660409399061907
Arhgdia	0.001959880090616044
Tceal1	0.0019592169892792242
Cpe	0.0019517750062809825
Uqcr11	0.001937201616048408
Rpl5	0.001931049454654746
Rpl38	0.0019285818911324501
Olfm1	0.0019187884040395415
Spock2	0.0019187200070343276
Apbb1	0.0019171909850441596
AC149090.1	0.0019112114057674252
Thy1	0.0019019540113291817
mt-Nd6	0.0018949450918101136
Chn1	0.0018940729924517086
Cachd1	0.0018843822710528093
Gabrd	0.0018821653484722113
Rplp1	0.001881181026487397
Gm15427	0.001879274077899116
Rps15	0.001877627747267701
Slc4a4	0.0018696685551813528
Pink1	0.0018626649537226707
Actg1	0.0018430220902513736
Arhgap5	0.0018412653659294208
Arf3	0.0018388769467385156
Rpl18-ps1	0.0018369769365727021
Stmn3	0.0018350000644091486
C4b	0.0018315773874317354
Serpina3n	0.0018153202550453005
Prpf19	0.0018051607932338667
Chd3os	0.001799212028183159
Smpd1	0.0017888841299325013
mt-Nd3	0.001788787010340824
Gm14915	0.0017848380931640882
Rcan2	0.0017762915853592222
Celf4	0.0017716084252885464
Rpl28	0.0017576363907687185
Tspan7	0.0017574286245568144
Rtn4	0.0017570193260595974
