gene	importance
Ctsd	0.0310410968260581
Tyrobp	0.027453460348594885
Gfap	0.0192446957905602
C1qb	0.017029096229113073
Trem2	0.01630931268530633
B2m	0.015285861588893751
Clec7a	0.014586247623593469
Cst3	0.012887865881382608
Ccl6	0.009206581058517264
Cd74	0.00919858098788563
Serpina3n	0.008935541836687405
Cst7	0.008577191227972143
Snhg11	0.00720061444049954
C1qa	0.006961789651745787
Ctsb	0.006767433520922572
Camk2a	0.006308125191047832
C4b	0.006267817643299222
Ctsz	0.005973169343457176
Gm45772	0.005806126720672989
Nudt19	0.005694695618703115
Fndc4	0.00543708186925968
Btbd3	0.00534425496516622
Dkk3	0.005333932781117059
Hspa8	0.0052477088715991065
mt-Tf	0.005132315405662663
Tmsb4x	0.005030510251837723
Map2	0.004759802690766469
Qdpr	0.0046854874745111165
mt-Tm	0.004631693382101991
C4a	0.004612212640098914
Rgs10	0.0045846553895732296
Timm13	0.004582844356360805
Fth-ps3	0.004521002779553869
H2-D1	0.004516857035784371
Gm10925	0.004447492836178963
Pkm	0.0044037260331690215
Emc10	0.004285034943252882
RP23-269H21.1	0.004204464344233703
Syngr1	0.004099066535908494
Edf1	0.004035905611289749
Tuba4a	0.004014244794465358
Pip4k2a	0.004008870883739313
mt-Tn	0.0040046409678348325
Gabbr1	0.003977526319751308
mt-Rnr2	0.00395361498871911
Gm42418	0.003937968982128199
Dnajb1	0.0038941188700015563
mt-Co3	0.0038576657421420944
Gm28437	0.003752503835217939
mt-Nd4l	0.0037191398245569407
Csf1r	0.003672959239278334
Gnas	0.003643554883455791
Timp2	0.0035660984064308874
Fkbp2	0.0035524521921143394
Cox5a	0.003547749132088615
Sv2a	0.003527350885187481
App	0.0035218288235111094
Arpp21	0.0035194977194738454
mt-Tc	0.0035151428675734104
mt-Nd1	0.0034444145211520636
Pddc1	0.0033931506563421904
mt-Ta	0.0033593747046600556
Trf	0.0033087072152397337
Meg3	0.0032677523634814724
Uqcrc1	0.003260448539029728
Gng3	0.0031880177938372017
Rpl27a	0.0031755561184828203
Mif-ps3	0.0031708737942064153
Atp5b	0.0031188052794617915
Ctss	0.003096968265290446
Gcn1l1	0.0030802589076451684
Pcp4	0.0030591249035015985
Atp1b3	0.003042044709259131
Clstn1	0.0030304193278003107
Dynll2	0.003026502642464633
RP23-70B19.5	0.0030233680162499044
Gm14915	0.003007473817216509
Nme7	0.002991819919929867
Extl3	0.0029911269005045253
Srebf2	0.0029889451945156226
Gm7899	0.0029680307933840997
mt-Tw	0.002960242339490001
Tpi1	0.002934170829881975
mt-Rnr1	0.002867780858323694
Pld3	0.0028645375595022175
Nefh	0.0028602940107870897
Gaa	0.002854944506878439
Ndufa3	0.002854094172350736
Gm5905	0.002845701077073219
Cldn11	0.0028253935388177567
Cd63	0.0028097660497675143
mt-Tl2	0.0028093460108964494
Cfl1	0.0027920327679545804
Apod	0.002790895921383883
Uchl1	0.0027322065825722713
Tomm40	0.0027270340387811104
Cd9	0.0027120540110976074
mt-Tl1	0.002711828875122996
Sod1	0.0026599908829875343
Tmem145	0.0026553558224473436
Prpf19	0.0026542864128691625
Rnf187	0.002642375673943805
Asns	0.0026363181587390214
Dbi	0.0026329115881423113
Gm20721	0.0026328424273233697
Cyb5r3	0.0026143836224027375
Tspan7	0.002601152843756586
Lpl	0.002599183123678353
Sirt2	0.0025972712626165548
Gm10073	0.002586415261608691
Gdi2	0.0025858677804795663
Eno2	0.0025811689997473973
Supt7l	0.002578778734836756
Ndufv3	0.0025758411800845967
Ift46	0.0025461857147293064
Lyz2	0.0025459757093259476
Fasn	0.0025458767158607633
Gm43743	0.002544959133775632
Itm2b	0.0025346035273253573
Gm6023	0.0025288941671193902
Rps27-ps1	0.002527739479987845
Gm29216	0.0025259793936476226
Capns1	0.0025183362664037224
Jph4	0.002513194796180059
Sncb	0.0025048949730326147
Ndufa13	0.002471436476738853
Grina	0.0024692292398507025
Hdac11	0.0024682024132783482
Gm7808	0.002465526330015909
Nrgn	0.002457411142420032
Purb	0.0024527672082306716
Rps27	0.0024515449963250177
Atxn7l3b	0.002446930805534079
Itm2c	0.002431649391875324
Dnm1	0.0024285091528464665
Hexb	0.0024266656476607112
Gm13623	0.0024144012312143953
Map1lc3a	0.00240975482792984
Lars2	0.0023994626992485005
Gabarapl1	0.0023977152227872434
Scg5	0.0023669040010403206
mt-Co2	0.0023603838511254095
Acot7	0.0023595453722876146
Apoe	0.002349754843750454
Ly6h	0.0023339104759557017
Ndrg4	0.0023331455234671546
Stk25	0.0023248835254667767
Atp5o	0.0023107118186994464
Selenow	0.0023017606639028102
Eef1g	0.002297727044045673
Tecr	0.002258944439970868
Stub1	0.002247226722523462
Lrrc4b	0.002238546919860794
Sez6	0.002229325146796584
Aars	0.00222556136640373
Apbb1	0.002222398419495927
mt-Tv	0.002221436964373632
Ttr	0.0022098691591041094
Podxl2	0.0022064851240879077
Vim	0.0021946547567928067
Serinc3	0.002193233291961594
Prdx6	0.0021915746428642258
Gm7618	0.00218795944940787
Gm13341	0.0021798418982416153
Adar	0.0021674653169097276
Rn18s-rs5	0.002161803969167325
Cpe	0.0021557256760105677
Syt11	0.0021556994559126597
mt-Nd6	0.0021556676144578054
mt-Tp	0.00215263710010098
Laptm4b	0.002152593034228633
Hmgcs1	0.0021431731281668404
Rps9	0.002142238699082534
Gm11410	0.002140211105877042
Rplp1	0.002122003480634264
Ywhah	0.0021219270181667
Mt3	0.0021214165437422145
Cltc	0.0021162012957505927
Aldoa	0.00210315976377526
Atp5g3	0.002102458573392597
mt-Te	0.002098918067858156
Cd81	0.002096444607253014
Gm20594	0.002086634707391198
Rpsa	0.002082253142047603
Sparc	0.0020641186193754327
Atp9a	0.0020636715557816516
Cplx1	0.002062742513896389
Pebp1	0.002059446674317725
Npc2	0.002050834882979989
Gm5575	0.002044966695374295
Vcp	0.0020209017596702597
Ldhb	0.002014110226210594
Ctsl	0.0020078275790311197
mt-Atp6	0.0020073097833162566
Nptn	0.0019814541767682486
Slc22a17	0.00195992473500878
Ywhaq	0.0019510782219556318
mt-Cytb	0.0019494669324058138
Ckb	0.0019448031108538798
Pcsk1n	0.0019433076867756101
Pcmt1	0.0019322700940399599
Rps4x	0.0019300777546292784
Mpeg1	0.001924159754425551
Aplp1	0.001917521403799968
Arhgdia	0.0019106104363487242
Glrx3	0.0019059717284106341
C1qc	0.0019027143256945265
Tuba1a	0.0019000443866239816
Rpsa-ps12	0.0018988993450815015
Gm11273	0.0018973142721689486
Plp1	0.0018925373840242073
mt-Nd4	0.0018851334282809606
H2-K1	0.0018812106325610965
