gene	importance
Ctsd	0.028314617178016702
Tyrobp	0.019119874565008535
Cst7	0.015663066291654197
Gfap	0.015630592766622285
Ctss	0.012591125215364814
Cst3	0.01100859935582698
Gm42418	0.010612660028980073
Apoe	0.00971409044606724
Hexb	0.00832565377651277
mt-Rnr2	0.008209283137564742
Fth1	0.007437366776843204
Gm45212	0.007232674473699699
Gm26917	0.006982617217261811
B2m	0.006314067004525756
C1qa	0.006169618910644262
Tbx1	0.00594756384785046
Mir6240	0.0056263661581836865
Clec7a	0.005195707472607492
Trem2	0.005133273474610177
Gap43	0.005055559602404055
mt-Rnr1	0.0047355555330513615
Ctsb	0.004489956789243214
Mbp	0.004375629305148084
Tmsb10	0.004202269228748373
Cplx1	0.004055231112613254
Mobp	0.0038367811300669104
C1qc	0.003598674648144331
mt-Co3	0.0035608420022023397
Trim2	0.0035519924867973922
C4a	0.003506216447394287
Snap25	0.0034951391749096393
Gpm6a	0.0032923014692814315
Ttr	0.003265489571386521
Lrrc17	0.003209654760389978
Gm20594	0.00320179528249649
mt-Tc	0.0031115641927912845
RP23-269H21.1	0.003100414793192884
Pkp4	0.003090614862601189
Nap1l5	0.0030771203615264603
Mpeg1	0.003075347711918492
Plekhb1	0.0030730147028808982
Gm10925	0.0030210219077251243
Ankrd13c	0.0029757438941035233
Sez6	0.002908252998765585
2900011O08Rik	0.0028953646101615715
Ift46	0.0028833399988791885
mt-Cytb	0.0028828391185533116
Hnrnpa3	0.0028589569090073357
Gm12251	0.002850839463933582
Tulp4	0.0028359000447332116
Selenow	0.0028338900159109496
Rn18s-rs5	0.0028302946853745003
Zbtb20	0.002825666519170224
mt-Tl2	0.0027974475997945445
Gpnmb	0.002794213239704096
Abca2	0.00278784325781434
mt-Atp6	0.0027853046151741236
mt-Tn	0.002744856557751512
Pkm	0.0026991941164457786
Arhgap5	0.0026801260890240105
Sirt2	0.0026764953923836543
Wdr89	0.0026746373297400366
Gm29216	0.0026641884574956265
Rnf167	0.0026219877090786913
Vps8	0.0026002866353784784
Syngr1	0.0025396782791193644
Csf1r	0.002525251082147407
Ndufa3	0.002521921570843723
Rtn1	0.0025195888787490624
Gpi1	0.002490020523521084
Enpp2	0.0024788110347725065
Akr7a5	0.0024651174210970506
Prnp	0.002464874483283913
Plcxd2	0.002448574008429954
Ppp3ca	0.0024461059362549217
Atp6v0b	0.002413038822627765
Reep5	0.0023800314514369663
Prpf19	0.0023514180631823717
Slc4a4	0.0023355625277850928
Lars2	0.0023152137638392098
Nrsn1	0.0023134097211358283
Ldhb	0.0023128716767355766
Nat8l	0.0023127397136231483
Itm2b	0.0023096225345516147
Atp1b1	0.002305622562622982
Gm11410	0.0022951932268433953
Ywhab	0.0022596648893495283
Apod	0.0022497734774483353
Selenom	0.0022233698221130697
Calr	0.002222437546026031
Npdc1	0.0022036063775813285
mt-Tm	0.002199277954394203
Ncdn	0.002181654322780593
Chd3os	0.0021729370121783952
Olfm1	0.0021403829149618603
Stmn1	0.0021396183021053553
mt-Nd1	0.0021324838924548363
Ndufs2	0.0021241296078732485
Nefh	0.0021149046034483637
Supt7l	0.0021081118952918265
Cd34	0.0021037493454768106
Celf4	0.0020792899111312514
Emc10	0.0020765023322025355
mt-Co1	0.0020754878115980995
Gars	0.0020735695733389695
Nrgn	0.0020660663742960643
Prosc	0.0020523040758967204
Apbb1	0.0020506672901237388
Gm13339	0.002050184659035632
Gpx4	0.0020493560858748467
Gm2a	0.002048468159636231
Gm8326	0.0020467556742068487
Rpl18a	0.0020375949469916407
Cpe	0.002035857704052293
Cnp	0.002032353003294729
Vamp2	0.002027020081795358
Rtn4	0.0020228558321436605
Fkbp1a	0.0020110017726670476
Gm15500	0.0020055452540182974
Tuba1a	0.0020052881314311147
mt-Th	0.0020042919915949655
Camkv	0.002001890296485354
Sgk1	0.0019988701282532273
Syt1	0.001998026174574967
Sptbn2	0.0019870803827553934
Gm12155	0.001985439814237511
Ptgds	0.001972685130560536
Atp6v1a	0.0019695848310495195
Arhgdia	0.0019619198940318025
Clstn1	0.001954442074553427
Ly86	0.001953842846497696
Rpl28	0.001952215178654663
mt-Tf	0.0019508802980597784
Rps9	0.0019441734849066196
Sh3bgrl3	0.0019432390528441082
Rpl18-ps1	0.0019369001019211517
Clu	0.0019328104977064937
Ftl1	0.00192988151186876
Pip5k1a	0.001924282659674891
Tceal1	0.0019186655133727009
Rnf187	0.0019180215235074184
Aes	0.001909189130389358
Cldn11	0.0019089185194935295
mt-Nd6	0.001907641527792436
Cbln4	0.001907200203760817
Pink1	0.001906391585466403
Cotl1	0.0019034442861573027
Gm5239	0.001903180608378323
mt-Nd3	0.0018942166789997252
Ndufc1	0.0018933285266483507
Ids	0.0018869604102684124
Actg1	0.0018794133597529806
Scn1b	0.001876360489877679
Cox8a	0.001867920331995001
Rheb	0.0018659028862163555
Uqcr11	0.0018600988906751206
Gm15427	0.001855977043300507
Aplp2	0.0018553782924553874
Aar2	0.0018509696803157907
Malat1	0.0018450466880084637
Rps15	0.0018434441049521744
Gm43743	0.0018431400391049294
