gene	importance
Ctsd	0.027104649655659997
Tyrobp	0.01648577088862358
Cst7	0.016017925669429542
Cst3	0.014877725771885548
Gfap	0.013507818795783978
Ctss	0.012736037139546992
Apoe	0.012406853825963748
Gm42418	0.010351383630822228
B2m	0.010267756694665828
Hexb	0.00951378172620977
C1qa	0.009354078485259933
mt-Rnr2	0.008281384492511363
Fth1	0.008245868565100008
Tbx1	0.00815848402643751
Gm26917	0.007400591108836693
Mbp	0.006841569414857744
mt-Rnr1	0.00669852126864686
Trem2	0.00649513233856102
Gm3511	0.006366514743549051
Gap43	0.006312087207315389
Gm20594	0.00614509838283282
Cplx1	0.006111793385230303
Tmsb10	0.005902357507981678
Lars2	0.005716717458960079
Gm45212	0.005673325228148355
Mobp	0.005623927768443588
Mir6240	0.0054032088088555785
mt-Tc	0.0053667976235698776
Snap25	0.005344557577529169
Tusc3	0.005325284014485907
Vps8	0.005193227293562293
Sez6	0.0051490832272783945
Trim2	0.005138384555010703
Gpm6a	0.004986533155076747
mt-Co3	0.004978038006538011
Wdr89	0.0048914630006806304
RP23-269H21.1	0.004861898916972508
Ywhab	0.004861478333867893
Hnrnpa3	0.004754961090895441
Rn18s-rs5	0.004745978647137074
Pkp4	0.004740614684691024
Clec7a	0.004701734632364769
Ankrd13c	0.004685489170376548
Mpeg1	0.004669079504951149
Ndufa3	0.0046558779510616115
Ttr	0.004635602718880803
Ppp3ca	0.004634484215273327
Gm5239	0.004604039809096227
Ctsb	0.004594979401365321
Lrrc17	0.00457022223451543
Syngr1	0.004561412240931203
Fxyd6	0.00451128549183103
Nat8l	0.004502125476160148
mt-Tl2	0.004402512777058588
Nrsn1	0.0044022797823219965
Rtn4	0.004396842245385605
Gpi1	0.004332037807768538
Tuba1a	0.004322241496545655
Plp1	0.004316231579612782
Celf4	0.004312860044484083
Selenow	0.00427736321488502
Enpp2	0.004261626086621115
Itm2b	0.004261371234511768
Arhgap5	0.004252401451886468
C1qc	0.0042499506018215585
Nap1l5	0.004237784872221434
Atp1b1	0.004226606514672255
Pkm	0.004198856683372269
Map1a	0.004196971802343187
Plekhb1	0.004179755465714343
Rpl18a	0.0041437399988918065
Zbtb20	0.004142358790481181
Calr	0.004122425066096098
Olfm1	0.004050266359736798
Gm8326	0.00404965749864329
Gm15427	0.004042057041621376
Ptgds	0.0040145420612662025
Ywhah	0.00389185112121332
Emc10	0.0038636497083618807
Selenom	0.003856795347472566
Serinc1	0.0038456793014046108
Cotl1	0.0038296961203362267
Ldhb	0.0038278847124710415
Gm29216	0.0037935288768837427
Malat1	0.003785375761400908
mt-Nd1	0.00377867952224817
Uchl1	0.0037783771561600006
Gm11410	0.003760306719092795
Rtn1	0.0037555651803093683
Supt7l	0.0037484171150022182
mt-Atp6	0.003746980096993779
Rpl28-ps3	0.0037416462509839146
Cpe	0.003728248300871562
mt-Tn	0.0036996730802901787
mt-Nd3	0.0036881682099485034
mt-Tf	0.0036801899524926667
Gm12155	0.0036775255117946445
Ftl1	0.003671167328662529
Aldoa	0.003651780058694403
Thy1	0.003642151234523588
mt-Cytb	0.0036414380220974245
Actg1	0.003634608109645568
Ckb	0.003627351663238775
Lmo4	0.003622219459081414
Gm7808	0.003605427174012363
Ubb	0.0035842199599889295
Cox4i1	0.0035739113201470308
Camk2n1	0.0035734063882925378
Gm10925	0.0035698759267376373
Ift46	0.003543640005901332
mt-Tm	0.003536656448856394
Apod	0.0035320090685324644
Nrgn	0.0035203590523989205
Ncdn	0.003519048304633018
Actb	0.003511415825645624
Ctsl	0.0034950630523772805
Gm28437	0.0034874907197747977
Clu	0.003486167628994614
Grina	0.0034420415904904953
Pip5k1a	0.003415567714530649
Pebp1	0.0034024263844960627
Fkbp1a	0.0033991721316647106
Nefh	0.003383303529054769
Atp6ap1	0.00337454231702134
mt-Co2	0.003363407921390585
mt-Ta	0.003361845135065826
Cbln4	0.003353265449776064
Tubb4a	0.0033508946840553042
mt-Te	0.003348903957972131
Ctsa	0.0033469095479218163
Psap	0.0033443726609371505
Rab6b	0.003343705702787779
Ahi1	0.0033268135060146634
Rplp1	0.0033255869951436087
Gabbr1	0.003324499920410244
Aes	0.003320807011464912
Gm7899	0.003318977862563222
Rpl28	0.0033150480989045856
Ywhaz	0.0033143008797168316
mt-Tv	0.0032900284372066814
Slc17a7	0.0032897637810708116
Gm11512	0.0032853574563701145
mt-Co1	0.003285024936646356
C4a	0.0032553060395099087
mt-Nd6	0.0032549796945705884
Cox6a1	0.00324359613379775
Mt3	0.0032173614168791048
Csf1r	0.0032060768679355936
Ids	0.003196462824103361
Map2	0.0031939405661954045
Yars	0.0031893328225629995
Rpl26	0.0031810121699685254
Rtn3	0.0031777948572737774
Hspa8	0.003175859243529956
Ly86	0.0031755018111355574
mt-Atp8	0.0031748362600582166
Pcp4	0.003173403827081852
mt-Tl1	0.0031521060319480627
Scn1b	0.0031458465619569687
6330403K07Rik	0.003140770295328966
Eno2	0.003127021393844599
Pcsk1n	0.0031031918932202768
Gm28438	0.0031020561831061233
Eef1a2	0.003091693185715517
Atp5b	0.0030754257953649155
Purb	0.003068094132459617
Aplp1	0.003051572804670096
AC149090.1	0.0030318088449464266
Calm2	0.003015293655709329
Pvalb	0.0030103124698688285
Nme7	0.003002017427370566
mt-Nd5	0.00300051739563343
Gnas	0.0029666807554277167
Ndrg4	0.002953974823836766
Gm4750	0.0029455821611706345
Cfl1	0.0029452966245506283
mt-Tp	0.0029353257996912615
S100b	0.002929066726592678
Gng3	0.0029242438215871087
C1qb	0.0029189018181273165
Eef2	0.0029088182784472406
Hcn2	0.002901657383515889
Trf	0.0028954416402189767
Npc2	0.0028903660181275733
mt-Nd4	0.0028766323102776326
Bin1	0.0028700498417663775
Cachd1	0.0028657473105652333
Gm5575	0.002852363361384585
Syn1	0.002847610587138737
mt-Nd4l	0.0028467140351700272
Cck	0.0028303443781033124
Sncb	0.0028260640432339838
Fcrls	0.002821603857251199
Ctsz	0.0028092237504888113
mt-Nd2	0.002807304765754338
Atp5d	0.0027942156840123425
Dlgap3	0.0027941172072516187
Gm20721	0.0027885517454184884
Atp5a1	0.0027811359501545437
Gm13341	0.002777503043294999
Man2b1	0.0027488998611423987
Dnm1	0.0027236760312085474
Timm22	0.0027129651957542673
Grn	0.002706207258764783
Nsmf	0.0027031669184363013
Cd63	0.0026995951020791675
Podxl2	0.0026921279402528655
C1qtnf4	0.002683167260268758
Cd9	0.0026718774988567107
Erdr1	0.002666431183018166
Gabrd	0.0026635466652564547
Fau	0.002645632204187997
Napa	0.00264470808707079
Hexa	0.0026198220951739485
Nptn	0.002567025650320558
Atp2a2	0.0025543596847810482
Gpnmb	0.0025319116004085956
Gusb	0.0024850023575413802
Creg1	0.0024820397167829053
Gm28661	0.0024626833334207812
Fth-ps3	0.002442726618327155
Gcn1l1	0.0023318241185861515
Serpina3n	0.0022473784497767098
Rps12-ps9	0.002238248062528351
Gm6210	0.0021580591052507716
C4b	0.0021503054394377994
Vsir	0.0021310829623686703
Lbx1	0.002063253084862932
Fbn1	0.00205513867487341
Gm15564	0.002020916683215876
Fcer1g	0.0020181152200950646
Ccl6	0.0019328170229064524
Gm24245	0.001905346000124072
Mir6236	0.0018415778549372194
Slc46a3	0.001765870335719923
Sept5	0.0016722701022903836
H2-D1	0.0016624537026253383
Selplg	0.0016497085017233414
Laptm5	0.0015894541787973692
Lgals3bp	0.001574833623219524
Gm8245	0.001547371996413574
Lag3	0.0014906413524516774
Cd74	0.0014893440328511297
Gm24270	0.001366920930606221
Itgax	0.0013345060777430705
Spp1	0.0013128354334981818
Lyz2	0.0012797163412543062
Cd68	0.0012572948291377486
Cyba	0.0011801665170186498
Cd52	0.0011766212447625994
Cd14	0.0011176273546237854
Gm23935	0.0006431533283473164
Rimbp3	0.0005780929654699532
Pom121l2	0.0005530840539026939
Gm42959	0.00044446665977473053
Gpr55	0.0003612966644891241
Nsl1	0.00032095465012467955
