gene	importance
Cst7	0.031336010917979586
Ctsd	0.028928261887867422
Tyrobp	0.022491335801743395
Gfap	0.019650068067870046
Trem2	0.010549042589148476
B2m	0.010507599600131189
Ctss	0.008307776537836363
Hexb	0.00827152603812678
Cst3	0.007438505951223343
C4b	0.007411966767598371
Sst	0.007253240600662026
C1qb	0.007218529682633548
Mobp	0.006968991747484613
Camk2a	0.0069314368591141115
Lyz2	0.006621229965318765
mt-Tf	0.006555882888050276
Ctsb	0.006370410556179637
Mbp	0.0063104650643078745
Camk2n1	0.006234176141695684
Tmsb4x	0.006034418354242934
C1qa	0.005961598564375389
Lypd1	0.005867859681012417
Fth1	0.005791062610646103
Apod	0.005587335923543404
Psd3	0.005560739252690361
Ddn	0.005497143473127065
mt-Rnr1	0.005404951806550975
Rab10	0.005346369691473872
Timp2	0.005339098621636663
Plp1	0.0053327819637903826
Gm13340	0.005324966222395301
Ahi1	0.0053177517530882176
Plekhb1	0.005306480558782881
Bex2	0.005250384573426858
Mal	0.0052481510019821076
Gucy1b3	0.00523607718297613
Sept7	0.005232854566578191
Rpl32	0.005232367287494667
Camk2d	0.005215504692773783
Snhg11	0.005185286699062307
Gm42418	0.005180044502058721
Gria3	0.005177417133671738
Meg3	0.0050578281155325205
Zfp365	0.005041062778070038
Lrrc17	0.00502708047007281
Zbtb20	0.004926954110987491
Apoe	0.004812109332270985
Ttr	0.004808419917975305
mt-Tm	0.004802133124923553
Calm1	0.004796296756056301
Cabp1	0.004685764883099957
mt-Ts2	0.004651165090857424
Tubb2b	0.004639638363768749
Gda	0.004614318485348201
Nap1l5	0.0045722766389624655
Mef2c	0.00456295805923646
Pcp4	0.00455030486611234
Cnp	0.004546809470530648
Sparc	0.004533840172885673
Gprasp1	0.00449258351687291
Syngr1	0.004487988786983293
Kif5a	0.004478244903893961
Serpini1	0.004477519532693405
Egr1	0.004460636614432788
Gm28437	0.004458799797924764
Lsamp	0.0044336892016641335
Emc10	0.0044021835267228195
Gm26917	0.004392361007396184
mt-Co3	0.004389270878558671
Slc6a11	0.004361248966443204
mt-Tn	0.00435763582553474
Cldn11	0.004354667934333953
Gm28661	0.004352228979187812
Gap43	0.004350922717751271
Pea15a	0.004329254043883615
Gm17511	0.004305808236020965
Rn18s-rs5	0.004291943392190566
Nptxr	0.004291044424319817
Cryab	0.004275636163857829
Tubb4a	0.004251160066465307
Enpp2	0.004244670925766005
Bcas1	0.0042355619168448315
Ckb	0.004224390148644871
Snap25	0.0041826945792194856
RP23-269H21.1	0.004179802208335647
mt-Tc	0.004164650580770039
Malat1	0.004162395207631189
Supt7l	0.0041590740043858715
Uqcr11	0.004156148911695045
Sncb	0.0041557923511728705
1110008P14Rik	0.004145404728794264
Tmem130	0.004138624062940603
mt-Nd1	0.004125416917660519
Clu	0.0041151246571756
mt-Tq	0.004109528823026882
mt-Atp8	0.0040829249032035605
Atp6v0b	0.004078205418427416
Lamp1	0.004074872779629208
mt-Tv	0.00405776687857586
Gm10059	0.0040560272863773335
mt-Tl1	0.004045917876235876
Arpp19	0.004020235400820645
Rpl22l1	0.004011806846557503
Csf1r	0.003982114214581757
Slc1a2	0.003974607847023313
C1qc	0.003960716367649402
mt-Tl2	0.003954694941890299
Calm3	0.003953869655201998
Chn1	0.003951155231331716
Homer1	0.003943110585680842
Gm5575	0.00392702758869205
Prdx6	0.003926412214081567
Slc17a7	0.003904001462111657
Hexa	0.0039020851659028744
mt-Th	0.0038898837404876324
Gatm	0.0038831865653903017
mt-Rnr2	0.003882840806262846
Scg2	0.003870857173849558
mt-Tt	0.003867844165932431
mt-Nd3	0.0038674792982932586
Gm10925	0.003850462391390217
S100b	0.003841068586342806
Qdpr	0.0038400520871823456
Psap	0.003836970610150217
Arhgap33	0.0038361159361769213
Car2	0.0038075015432284614
Sez6	0.003802186339749744
mt-Ta	0.0038014052844840694
Ptk2b	0.003794786918340645
Lamp5	0.0037920778498348527
C4a	0.0037868250813480778
Purb	0.003783733402705837
mt-Co2	0.0037705236382383775
Trf	0.003766254427139549
Dnm1	0.0037617617661838253
mt-Nd6	0.003758705324749398
Lars2	0.0037576830505440077
Gm11410	0.003741002392626909
Timm22	0.0037344040387761405
Pip5k1a	0.003732650216645523
Grina	0.0037218214043332107
Pvalb	0.003721799500879066
Tpi1	0.003707558127948996
mt-Te	0.00370456748757206
Gm20721	0.0037042863060344007
Gm29216	0.003689316566226929
Osbpl1a	0.0036762288985484805
AC149090.1	0.0036747336373655123
Stx1a	0.0036698160321519623
Rapgef4	0.003656746940163808
Ctsl	0.003655012191125387
Tubb2a	0.003651582053731593
Sirpa	0.003643550498124098
Pkm	0.003642960133676317
Ly86	0.0036393260364300066
mt-Tw	0.00360459032788281
Cd9	0.0036044905796758517
Gm12155	0.0035984966667500437
Slc17a6	0.003590766552600541
Tcf7l2	0.003578404530534972
Nrgn	0.0035550819185339757
Prkcd	0.003549552501906193
Rplp1	0.0035483555317164066
mt-Nd4l	0.0035428964079670788
mt-Tp	0.0035196635888243037
mt-Tr	0.0035130550603225765
Scn1b	0.0035040443814736135
Selenow	0.0035032221098781225
Scd2	0.003481732013030897
Pld3	0.003472743880241506
Nme7	0.0034506652873161296
Cox4i1	0.0034389438959824656
Gm7808	0.003435266926923166
Ndrg1	0.003423791636431305
Gm7618	0.003417143804415924
Npc2	0.0034162847077390487
mt-Nd5	0.003390285266546967
mt-Nd4	0.0033555525783742833
Grn	0.0033387223605416795
Gm7899	0.0033233584550533078
Fth-ps2	0.003320151866625781
Mt3	0.0033169029745468816
Actb	0.003314918686727443
Man2b1	0.0032836579618787673
Ctsz	0.003275402470524479
Eef1a2	0.003259375993593621
Cd68	0.003216201957082628
mt-Nd2	0.003204225147189664
Ctsa	0.003124756567338757
Gm8326	0.003118866314841886
Lpl	0.003118169671028622
Ftl1	0.0030909616981393017
Fcrls	0.00294897482446405
Laptm5	0.002792638849769021
Itgb5	0.0027593750522143527
Mpeg1	0.0026896813289912173
Neat1	0.002603446078994371
Srgn	0.0025525534616351133
Cx3cr1	0.0025355596148652518
Vsir	0.002436994560829723
Serpina3n	0.0024020887459827896
H2-D1	0.002363344219793912
Gm26723	0.002290675864496375
Ccl6	0.0022878313698295773
Fcer1g	0.0022192623193889953
Ctxn3	0.0021598430161238885
Olfml3	0.0020932695538172954
Mir6236	0.0020912447619091837
Lgals3bp	0.0020818540701861604
Fcgr3	0.0020178817733911766
Cyba	0.0018761388853572082
Ctsh	0.0018492970836636708
Zfp30	0.0017995877944046446
Plek	0.0017791539230870516
Gm24601	0.0017208595972391448
Cd52	0.0016355147134541725
Lag3	0.001613751018505031
Cd14	0.0013474278939411594
Spp1	0.0012860492178309309
Slc46a3	0.0012745353837611032
Cd74	0.0012128703972053387
Gpnmb	0.0011398212472843179
Mamdc2	0.001110047381745049
Fcgr2b	0.0010840510175909896
AU020206	0.0010202289408851434
Lyz1	0.0008304796154478162
Clec7a	0.0007757359232356391
Gm10800	0.0007168378461871924
Itgax	0.0006818409214255238
Rimbp3	0.0005338366065236189
H2-Aa	0.0004494187697824458
