gene	importance
Sez6	0.09417528508800811
Cst7	0.04937511943364973
Gm28437	0.029640526084688867
Lrrc17	0.026625084339648546
Ctsd	0.020140379850316643
mt-Rnr2	0.014874942436075433
Ttr	0.014605675567817866
mt-Rnr1	0.011929958413376237
Gm15728	0.009513985152113076
Rpl12	0.00932136894421571
Gm13340	0.007950178836553674
mt-Tl1	0.007843172277985524
Gfap	0.00747224303909781
Supt7l	0.007456061950804389
Pip5k1a	0.0071122669639748295
Gm26917	0.006516046036717946
Gm20594	0.006341349608982275
mt-Ta	0.006030035489707679
B2m	0.0054889028623655595
2810433D01Rik	0.005389037076224927
Ccl21c.1	0.005383079455137714
Tyrobp	0.005172310306903605
Gm42418	0.0049568727600104445
mt-Tm	0.004857172932235245
Hsh2d	0.004106218740007592
C4b	0.0039347021516991714
mt-Tv	0.0038576968008399827
Gm7079	0.0037893334076645954
mt-Tf	0.003624964553746403
Pmch	0.0035870312271907077
Gm42959	0.0032513012060962207
Fth1	0.0031051507540666703
Gm10736	0.0030185819515510044
C1qc	0.002971588020410588
Kif15	0.002966494436152032
mt-Tn	0.002913478993428743
Ly86	0.0028307608051841688
Gm43841	0.0028245929659136554
Trem2	0.002724817263712981
Ccl6	0.0026529246549263524
Uba52	0.0026058354713653733
Gm11033	0.002573150795027722
mt-Tc	0.0025701509068640086
Mpeg1	0.002516675665668629
Rplp1	0.002458036749722661
Gm14303	0.002427008919241273
Dao	0.0024204257239442664
mt-Tl2	0.0023346589126517063
Rn18s-rs5	0.002325339212718025
Apoe	0.002233957389792232
Rps12	0.0022069688754112545
Hexb	0.002184132594824692
mt-Co3	0.0021747126961638797
Gm14915	0.0021419935296412185
mt-Th	0.0020934794123441494
Ctss	0.002081486281631325
Plp1	0.0020717728690011063
Mbp	0.002065004351571529
Lars2	0.002063418601950019
mt-Tp	0.001997150767058714
Gm43743	0.001978768091687936
C1qa	0.0019515935532621684
mt-Atp8	0.0019447837741059578
Gm10180	0.0019250371044224914
Sparc	0.0018858761591070913
Tbx1	0.0018846702615639918
Gm28439	0.0018826845890861762
mt-Tw	0.0018715596781356913
Mt3	0.0018534339720568886
mt-Nd6	0.0018326369510178713
Ctsb	0.0018271710746142374
Plekhb1	0.0018208317827753174
Ift46	0.0018206565061095782
Rpl37	0.0018075843066586057
Clec7a	0.0017977820040790539
Gm11410	0.0017973839831540654
Gm28438	0.0017971757245795578
Emc10	0.0017803357845080795
Cldn11	0.0017528170397884584
Cst3	0.0017499428974937336
Usmg5	0.001747552600558116
Clstn1	0.0017277118834469003
Rasgrp1	0.0017233312338196239
Gm29216	0.00169655713908612
Gm12155	0.0016957793415318867
C1qb	0.001694203580609294
Tmsb4x	0.0016921024276386372
Actb	0.0016815856202076192
Gm13341	0.001680289259316019
Eef1a2	0.0016783164927891114
Ctsz	0.0016746568516167514
mt-Tr	0.0016721232018244512
Scd2	0.0016614563587083876
Egr1	0.001660691728565997
Cpe	0.001650759376999025
Syngr1	0.0016469151305043873
Dhrs1	0.001641015330973314
mt-Tt	0.0016351688056693199
S100b	0.001630835220556982
Gm4750	0.001617364211617808
mt-Nd1	0.0016114101333743484
Gnao1	0.0016106333598326613
Enpp2	0.0015920572626280302
Atp6v1e1	0.0015855229446425734
mt-Ts2	0.0015854705747348444
Desi1	0.0015830307788266672
Cox8a	0.0015736774704895168
Rpl41	0.0015712974398901117
Cnp	0.0015688208400514772
Ftl1	0.0015622191981352737
Cox7c	0.0015566988789425468
Ppp3ca	0.0015557492829693818
mt-Te	0.0015380213767177161
Gm3511	0.0015342909709746334
Serinc1	0.0015250789599812486
Ly6e	0.0015041997785500937
mt-Co2	0.0014979364813757434
Meg3	0.0014943980099787907
Cplx2	0.0014931725496377653
Gm14150	0.0014887275004901107
Slc1a2	0.0014880586753554144
Dbi	0.0014713213347726985
RP23-70B19.5	0.001469828301392997
Rpl9-ps6	0.0014605919409366303
mt-Nd4	0.0014509239671639002
Gm26384	0.0014463057603638794
Apod	0.00144309225111529
Atp5j	0.0014387430170599352
Laptm5	0.0014366749437241023
Rps23	0.0014362022183033246
Snap25	0.001425421009196744
Rps28	0.0014254018498767685
Gap43	0.0014186452570144816
Nnat	0.0014174435248667213
Nap1l5	0.0014150377815371066
Gabra1	0.0014086416179031347
Gm7866	0.0014034358483611
Sncb	0.0014008301070003882
Rpl21-ps11	0.001391041355944307
Eef1a1	0.0013910253830241043
Rpl30	0.0013895251361699123
Psap	0.0013870855811254378
Kif3a	0.0013846445660388015
Gm10221	0.001383539287706555
Rpl11	0.0013790561126040823
App	0.00137308416855789
Gm10123	0.001369332334502391
Rheb	0.0013687371797909676
Rap1gds1	0.0013679651160480627
Rps27a	0.0013656035872819724
Gm12231	0.0013642141887378462
Timm22	0.0013641810465608686
Gm10126	0.001362130934451777
Gm8797	0.0013612913905326842
Clu	0.0013534850852676826
Adcy1	0.0013534286480348047
Gm4366	0.0013511467513058584
Aqp4	0.0013507244105252477
Tcf25	0.0013449570068988282
Gpx4	0.0013417022232072174
Mt1	0.0013410621828412758
Rps18	0.0013408826077068764
Tpt1	0.0013406148119320584
Gm6272	0.0013370706190518923
Gm7429	0.0013347629025743987
Gm9104	0.0013341591566857853
Gm10053	0.0013338635934106735
Qdpr	0.0013324766807591205
Gm11512	0.0013303355144034191
Gm6061	0.0013265133118343883
Lmo4	0.0013248445306526637
Gria1	0.0013233177553715412
Hapln4	0.0013205013511684719
Gpm6a	0.001317720553535631
Eef2	0.001314178994681524
Gm10925	0.001314126170874507
Gm12892	0.001314113029381573
mt-Tq	0.0013118355148400355
mt-Nd3	0.0013110131183608172
Rpl26	0.0013086613646661578
Nefl	0.0013060659878849253
Gm14859	0.001305489639267931
Trf	0.001305042162793529
Sirt2	0.0013043811173765899
Maged1	0.001304187309398116
Pcsk1n	0.001302633899067215
Rpl31	0.0013010946482963483
Olfr912	0.0012981515656553338
Hspa8	0.0012978556731136957
Rps7	0.0012974873361288402
Aldoc	0.0012968441706845716
Resp18	0.0012963987567225575
Rps17	0.0012897945491488509
S1pr1	0.0012878793949840817
Cox7a2	0.001285913395066228
Rpl32	0.001272519005184613
Vps8	0.0012717703090916843
Rps16	0.0012712916464308669
Ndrg2	0.0012705490658473778
Rps14	0.0012679264215941823
Rpl35a	0.0012596455291699995
Csrp1	0.0012567826918084845
Cox6a1	0.0012530322199360453
Cox6b1	0.0012528087345247913
Atp2a2	0.0012494108627188324
Hsbp1	0.0012436289087628448
Matr3	0.0012406651955603207
Gm8129	0.0012391932739431925
Rpl3	0.0012376811671548828
Ap2m1	0.0012327868450282538
Snrpn	0.0012325398945822776
Rpl34-ps1	0.0012274253302435839
Gprasp1	0.0012269726787311828
Rtn1	0.0012268982881612782
Gm19366	0.0012263242945053593
Gm14407	0.0012259886551593158
Gm21685	0.001223325988233856
Gm7331	0.0012222381310743105
Camk2n1	0.0012220411311784334
Slc12a5	0.0012215563746097481
Gm28661	0.0012213929965174074
Rpl38	0.0012207976427792418
Celf4	0.0012207568113622733
Rpl37rt	0.0012174358112654689
Plcb4	0.0012168262341872213
Nsg2	0.0012138733635058668
Rpl19-ps11	0.0012127877502449158
Syn1	0.0012124608895762868
Cd9	0.0012114934597477324
mt-Ti	0.00121148194744292
mt-Co1	0.0012111190178272341
Atp6v1a	0.0012080049002857543
Slc24a2	0.0012077235461538836
Gm12338	0.0012074222643456728
Gdi1	0.0012069308672649354
Slc6a11	0.0012053749640759416
Uqcrh	0.0012001712146867186
Cox5b	0.0011990622692730599
Gm10443	0.0011983705960802232
Synj1	0.0011974897226888657
Cplx1	0.0011940395338151338
Rpl27a	0.0011937245172908696
Gaa	0.0011925069877093374
Chmp4b	0.0011907289228897447
Tuba1a	0.0011890157629457529
Dynll2	0.0011886343880126325
Kif5a	0.0011856388009682235
Fkbp1a	0.00117908461716426
Gpr37l1	0.0011747119797893898
Slc25a5	0.0011744427915418708
Tpt1-ps6	0.0011721220597117946
Gm4613	0.001171994398045455
Gm3756	0.001171785933619294
Rps20	0.001171563748929498
Rps15	0.0011687120787852486
Ndn	0.001167758330599284
Gm15427	0.001167267460035105
Nptxr	0.0011672617156696671
Gm10039	0.0011665758902690245
Cbx6	0.0011654688206880778
Sez6l2	0.0011642472486014302
Gm11408	0.001163049616778219
Rpl28-ps1	0.001161487151341403
Gm4705	0.0011606198973889681
Gm13339	0.0011559140297840124
Ctsl	0.0011533031854262545
Rpl36	0.0011521446177748102
Dnm1	0.0011510815531897765
Atp5e	0.0011483171731355984
Ghitm	0.0011476831271162136
Tpi1	0.0011474205195726123
Mir703	0.0011449601838308698
Atp1b2	0.001144252177646553
Olig1	0.0011433080881807986
Rtn4	0.0011431788598746998
Rpl39-ps	0.0011419277176196768
Nrxn2	0.0011409930021004829
Entpd4	0.001140845545323256
Sparcl1	0.0011405297239140302
Sptbn1	0.0011402896343183399
Rps3a1	0.0011402572475278621
RP23-6C18.3	0.0011399452991907337
Rps15a	0.0011389140151930456
Tomm5	0.0011367734388594728
Gm11966	0.001136736189113446
Rpl19	0.001135087666470845
Igfbp5	0.0011332146946760138
Glul	0.0011331135285644139
Rps12-ps24	0.0011327882608617107
Wbp2	0.0011326960390387667
mt-Nd5	0.0011299956093851918
Gm5644	0.0011292531369847582
Olfm2	0.0011288945575300884
2010107E04Rik	0.0011282711497826877
Rida	0.0011273639780711518
Rps25-ps1	0.0011244876393771256
Rpl23	0.0011232743752406177
Gm20721	0.0011231061934559884
Gm8451	0.0011207391012286083
Atp5j2	0.0011195273182842394
Prdx6	0.0011190600121404094
Rps19-ps6	0.0011184547976897938
Ttc3	0.0011176147924446727
Pvalb	0.0011158381926550615
Cox5a	0.0011145013335973363
Gm3244	0.0011126117257981164
Gm11425	0.0011098721380132382
Rpl28	0.0011079371197179329
mt-Nd2	0.001106849483391399
Rps8	0.0011067533675168286
Rplp2	0.0011067247420073836
Snhg11	0.001106586391023141
Taco1os	0.0011032633071933532
Slc22a17	0.0011025404504115333
RP23-269H21.1	0.001102124862648642
Serpina3n	0.0011000380541847073
Ppia	0.001099810562031216
Rps29	0.0010986866069868108
Gng3	0.001096162891533914
Selenow	0.0010953251729693702
Rpl22	0.0010939407529320447
Gm10275	0.0010913032540593177
Arf3	0.0010889775311911912
Got1	0.0010873670021616893
Oaz1	0.0010825087133994893
Calm2	0.0010809725435748957
Gm7536	0.0010798560177529611
Eno1	0.0010794218842031511
Rps23-ps2	0.0010791174623182996
Eno2	0.001079102799510942
Gm1821	0.0010724484938204248
Rpl7a	0.0010705048974438518
Gm11604	0.0010676799019306374
Gm20430	0.0010669110825710026
Rpl13	0.0010665146835571273
Rpl37a	0.0010661920977627312
Rps27	0.001063020378700609
Gm7363	0.0010626450190249367
Thra	0.0010625102326593653
Csf1r	0.0010607298674965681
Rpl17	0.0010599379908640546
Cd81	0.0010568362272120873
Stmn1	0.0010557993202527352
Ubl3	0.0010557650983798695
Gm6977	0.0010542530008898548
Gltp	0.0010534116233724066
Fzd5	0.0010487097607814778
Gnas	0.0010481378148160722
Gm10250	0.0010474157780430836
RP23-246F14.1	0.0010460742842909219
Rps11	0.001044700584912097
Rps21	0.0010446515807630316
Ptpn4	0.0010438642609255017
Tsc22d4	0.0010422177678091134
Mt2	0.0010417007839187019
Selenop	0.001041476479329008
Cd74	0.0010376070094807051
Ost4	0.0010373238099727598
Malat1	0.001037269445136731
RP24-91J7.1	0.0010298661262449482
Zbed5	0.0010292021731019842
Fau	0.0010278888103279653
Brsk1	0.0010274142621175754
Ncam1	0.001025066992787747
Gm6170	0.0010235911526250542
Rps9	0.0010217376983007395
S100a16	0.001017915429711571
Gm13226	0.0010173548542358672
Gm16418	0.0010162758481512626
Gm5514	0.0010161031033260267
Rps24-ps3	0.0010160466740397572
Grina	0.0010107501819103836
Olfr685	0.0010057549878944958
Kcnj10	0.0010056312304418218
Tuba4a	0.00100497349254248
Sqstm1	0.001002505683527588
Rplp0	0.001000390046334552
Ttn	0.0009994123384634067
Atox1	0.0009990967441779082
Lamp1	0.0009985998415206851
Atp6ap1	0.0009978494034379786
H2-D1	0.0009975792164990615
Rpl6l	0.0009972125890086107
Gm6030	0.0009956314561621073
Rnf130	0.0009950435944796215
Rpl10	0.0009929443975991378
Gm15590	0.0009908084033949111
