gene	importance
Ctsd	0.036675615340817466
Cst7	0.03156287223236774
Gfap	0.02048395011359218
Cst3	0.0197276950086473
C4b	0.01927519901369819
mt-Tv	0.01917984213093161
Tyrobp	0.018141468758793945
Ctss	0.011914417027789097
mt-Tf	0.011440664443245662
Marcks	0.010923265823623286
Lypd1	0.010880966486057384
B2m	0.01052391497530014
mt-Tm	0.01024121595687716
Add2	0.010131395913730117
Ndufaf5	0.010080268099096783
Tubb2a	0.00998764411302726
Diras2	0.00997645289062373
Lyz2	0.009752110222940345
Hexb	0.00847737415891278
Cntnap5a	0.00843259516526046
Gm4997	0.008395283168941295
Zfp365	0.00829073158015856
Bex2	0.008155932267062098
Ly86	0.008083360000669398
Apoe	0.00806570090237264
Grina	0.007745694601199907
Mt3	0.007603826440386137
Gstm1	0.007277887817202062
Pcp4	0.0072773828458412345
C1qa	0.00718587452167298
Gm17511	0.0071557337998320175
Trem2	0.007053658682987657
3110035E14Rik	0.007052251204389985
Gm5451	0.006874577037472004
Dohh	0.0067788115920445965
Wdr89	0.006743091859408182
Fth1	0.006699654088992748
Lrrc17	0.006688600270795406
Celf4	0.006677305013749591
mt-Ta	0.006614102350362202
Plppr4	0.00653191986925774
Hpcal1	0.006505739255824938
mt-Tc	0.0064605304011476055
Rps27	0.006418122441522016
mt-Nd5	0.006394218150854124
Gm5963	0.0063771733179649225
Ncald	0.006375791459886122
C4a	0.006330769918252728
Rplp1	0.006324557018434639
Gm11410	0.006318857002565155
Ctsl	0.006313415758054925
mt-Rnr1	0.006296698487994632
Gm10269	0.006275689044733825
Gm13340	0.00624546177070747
Podxl2	0.006073878858254283
mt-Tl2	0.0060338872742212385
Gm10073	0.005986913634621833
mt-Tw	0.005982688382387905
Rpl21	0.0059672927518208884
Clu	0.0059530547487146954
Gda	0.005921922045355522
Eef1a2	0.005918682924323756
Nme7	0.005880589158598249
Anks1b	0.0058563895208741225
Gm7808	0.005829750499570094
C1qc	0.00582170993123969
Gm42418	0.005800105279129302
Gm29216	0.005785027824962507
C1qb	0.005770795075473648
mt-Tq	0.005754901649607033
Hexa	0.005696191386218146
Pip5k1a	0.00568512682308812
mt-Nd6	0.005682732606536311
mt-Tr	0.00565582280432918
mt-Nd4l	0.005636047977195329
Lamp2	0.005620071839080724
Rasgrp1	0.005615994375361424
Sez6	0.005601325822619807
mt-Tn	0.005540209827429851
Purb	0.005535434384069986
AC149090.1	0.005507926357355887
Gm5244	0.00550007834004045
mt-Tl1	0.005492498126987275
mt-Nd2	0.005467375495619136
Dnm1	0.005459197170795645
Malat1	0.005449857853406654
Gm12155	0.0054398374003530505
mt-Tp	0.005423465061947396
Gm26917	0.005410879301363733
Psap	0.0053902033383087375
Fbxl16	0.005349410636901093
mt-Atp8	0.005340273327834726
RP23-269H21.1	0.005333726702404962
Ctsa	0.005323151270645693
mt-Co3	0.005285410962287567
mt-Nd1	0.0052727954991387644
mt-Th	0.0052665257013223684
Grn	0.005261501667895895
Ctsb	0.00522146764904222
Cox4i1	0.0052146415244933375
Supt7l	0.005205275693725257
mt-Ts2	0.00517448228849459
Rn18s-rs5	0.005171297222520462
Mir703	0.005148387820629311
Gm8326	0.005140567050683567
Rpl37rt	0.005140452880345102
Rnaset2a	0.005134371167077277
mt-Nd3	0.00512853243016047
Gm20721	0.005061238853890698
mt-Te	0.005057534017554971
Prkce	0.005052548316560171
Atp6ap1	0.005032925681605437
Cd63	0.0050132969573725965
Csf1r	0.004972903084769601
Ifi27	0.004939667234547286
Rora	0.004923359901070849
Foxp2	0.004883906504806549
mt-Nd4	0.004873883187678364
Npc2	0.004856921894867454
Ctsz	0.004690511446011214
Tpi1	0.004669665549814283
Gm5575	0.00465593267765469
Cpne6	0.004593121783809971
Trf	0.004559394300759872
Klf9	0.0045477609337603
Cd9	0.004510916407310455
Gm7618	0.004451110523921821
Itgb5	0.004274270472605587
Laptm5	0.0037682692513828814
mt-Tk	0.0037584625762587284
Fcrls	0.0036905610159310683
Fcer1g	0.0033900501453568393
H2-D1	0.003257319371171459
Lgals3bp	0.0031899766636963307
Fcgr3	0.003091734923410819
Serpina3n	0.0030518411426066643
Plek	0.0029750685942436022
Mpeg1	0.0028799701087754946
Ccl6	0.002699219227456485
H2-K1	0.00255563753805396
Gm24601	0.002504158274258826
Cd52	0.0024178724243206977
Cd68	0.0023203803564233343
Lyz1	0.002227508439725099
Rps12-ps3	0.002222430397020346
Lag3	0.002172652574799871
Cyba	0.00208690639572317
Gm13464	0.001877788598988679
Itgax	0.0017814716924334688
Fcgr2b	0.0017171121393000242
Cd74	0.0016501539628986587
Gpnmb	0.0015925298422012873
Spp1	0.0015007093658568386
Gm10800	0.0014349831093063462
Slc46a3	0.0013446935739125454
Cd14	0.001198624388947965
Rimbp3	0.0009992810635684824
Gm10801	0.0009748165078813938
Clec7a	0.0008198019409697343
H2-Aa	0.0005696754978082842
