gene	importance
Sez6	0.060700776676956
Cst7	0.058676001693889146
Ctsd	0.03480851550065652
Gm28437	0.028261779181976344
Ccl21c.1	0.026075089650949002
Gfap	0.023053289990259573
C4b	0.014886369984502677
Tyrobp	0.014410981493878705
mt-Tm	0.01143009697874307
mt-Ta	0.010612745385778083
Rpl12	0.009517441247985278
Gm20594	0.008570118246968458
mt-Rnr2	0.00854920621121434
Trem2	0.008391966307472168
mt-Tf	0.008180675180118
mt-Rnr1	0.00754091938827844
Fth1	0.007198043205888581
Lrrc17	0.007045567694445935
mt-Tl1	0.006587597458123621
Ccl6	0.006181540564141541
Gm26917	0.006055778995079767
Lyz2	0.005796556869822221
B2m	0.005546256872959561
mt-Tv	0.0054270066880751765
Gm15728	0.0050433121138896584
mt-Tc	0.004612237468742246
Kif15	0.004608222191238974
Ttr	0.0041443421252858334
Uba52	0.003777431582316533
mt-Tl2	0.003614449830325266
Pip5k1a	0.0034855568543406467
2810433D01Rik	0.003448555879111257
Lars2	0.0033113706111304476
Rps23	0.0032615870710720365
mt-Tn	0.0031647391202099602
Supt7l	0.0031053914964444093
mt-Tp	0.002817148660796398
Gm10736	0.0026049047088636985
Ctss	0.002501770967647313
C1qa	0.002493024043991575
Gm43743	0.002415293280139861
Gm14303	0.0023661494011023776
Rpl30	0.0021756162145106918
Gm13340	0.002167365940284008
Cd74	0.002104818171315441
C4a	0.00210438550006714
Gm28438	0.0020759175477843422
Rplp2	0.002059813418109533
mt-Tw	0.002018582560823993
Gm12155	0.001980419060795537
mt-Co2	0.001962785439134021
Rplp1	0.0019258491413732032
Ctsz	0.0018968679691426862
Rn18s-rs5	0.0018708065310619297
Cst3	0.0018203804639848858
mt-Co3	0.001760155472772762
Gm20721	0.0017296661843179157
Gm42418	0.001697440911692814
mt-Atp8	0.0016873498480877627
Gm43841	0.0016728783967507235
Rps12	0.0016709613977459689
Dao	0.0016494430893518493
mt-Nd6	0.0016429185084342534
Gm7079	0.0015767060947042288
Rps16	0.0015650061435846434
mt-Th	0.0015429109152725825
Ly86	0.0015395482360075206
Gm11033	0.0015357291140114162
Mir6240	0.0015207304447188495
Gm29216	0.0015107904793982122
Gm20430	0.0015096454939341093
C1qb	0.001456682886583444
Syt1	0.0014499231176531983
Cox8a	0.001442383904419383
Gm3511	0.0014383679560792462
Gm10925	0.0014320808958589698
Rpl41	0.001425094182259487
Clu	0.0014060885933321096
Mt3	0.0014059194912900525
Fam134a	0.0014033055069600736
Ift46	0.0013934907429652718
Plp1	0.0013801396571922373
Enpp2	0.0013721817806831614
Timp2	0.00136758399385481
Rpl37	0.0013475736265741282
Gnao1	0.0013460641070178272
Tuba1c	0.001345944093512335
Rps27a	0.0013417439317472408
mt-Nd1	0.0013410349642837668
Sys1	0.0013290149344250862
Ccl21a	0.0012922927480397176
S1pr1	0.0012765312722542068
Rasgrp1	0.0012750627228989497
Rtn3	0.0012713659019853636
Slc17a7	0.001267536335714025
Tpt1	0.0012639770897767617
mt-Te	0.0012626796059798248
Tmsb4x	0.0012601531042377011
Gm4750	0.0012473888493313783
Entpd4	0.0012452347533575328
Rpl38	0.001244531723264262
Glul	0.0012388461984617295
Pmch	0.0012271593751175603
Cldn11	0.0012261253662901328
Ctsb	0.0012198741531564109
Scn1b	0.0012178942463967105
