gene	importance
Ctsd	0.04456030421123548
Cst7	0.03970863258603257
B2m	0.02927389125384501
Tyrobp	0.029104430758301218
Serpina3n	0.021663197002508468
Gfap	0.020912345572432472
Btbd3	0.020396110652835052
C1qb	0.01813462798089342
Cd74	0.016591485478592634
Gria3	0.01622746279207763
Gm26917	0.01611725919542422
C4b	0.015971996691844948
Syngr1	0.01585082289567501
Snhg11	0.01520142009923329
Mycbp2	0.015103700533708925
Lats2	0.015036304399559278
Pias4	0.014923357389108221
Pcp4	0.014876491653439485
Camk2a	0.01474268489796254
Sowaha	0.014627507484355097
Nefh	0.014610578304090103
Tuba4a	0.014011939644039913
Rn18s-rs5	0.01369120979194076
Dag1	0.013599079441879977
Selenow	0.013534845286139848
Kif5a	0.01350631514722757
Igfbp4	0.013309442119575235
Ctsb	0.013148153511848238
Gm7899	0.012982117360465582
Aup1	0.012234321842232332
RP23-70B19.5	0.011903097515447181
Cd9	0.011876972653323365
C1qa	0.011825645372981383
Ccl6	0.011383654409449714
Cst3	0.011359290144053605
Pkm	0.011289985074244382
Clec7a	0.011194969153258674
Ddn	0.010992663482261028
C4a	0.010955637862117845
mt-Tl2	0.010570164476787852
Hexb	0.010537316269478259
Gm13340	0.010470322812089303
Pgk1	0.01045924426147646
mt-Tv	0.010354823566301335
Lars2	0.01019409389951945
Gm42418	0.009793736010302104
mt-Tn	0.00970976909564501
mt-Te	0.009641600940841665
Ctss	0.009577494978058132
mt-Tm	0.009517514846485487
Mpeg1	0.009406677228604143
Ly86	0.00931987987537864
Camk2n1	0.009174422707065939
mt-Ta	0.008997650986822984
RP23-269H21.1	0.00899751143475092
Man2b1	0.008940125569729505
Ctsz	0.008901378001669664
mt-Tf	0.008898302711478708
Hexa	0.008895613715424846
Trem2	0.008763832981840951
mt-Tl1	0.008746162900753855
C1qc	0.008745898645619758
Hspa8	0.008678525792011805
mt-Tp	0.008638956863004367
Trf	0.008616501423469656
mt-Tc	0.00846384028145085
Apoe	0.008274329908605117
Srgn	0.008170545294536143
Scrt1	0.0080995230212364
Pebp1	0.007768301388061083
H2-D1	0.007007609641844199
Cd68	0.00692745625521681
Gfm2	0.006796195228925592
Lyz2	0.006396648907669675
Fcrls	0.006361853150824688
Laptm5	0.006357498356625135
Zfp30	0.005272281644179846
H2-K1	0.0052010491517614915
Lgals3bp	0.005093170032958551
Cyba	0.004724564606708538
Cd52	0.002729881293759127
H2-Aa	0.002540300677253438
Fcgr2b	0.0015114359728432933
Itgax	0.001322041545287646
