	AB	AB_2	AS	AS_2	D	D_2	N	N_2
B02_D1__10_10	0.0	0.0	31.884752258	33.188574122	11.8464275935	19.535760574999998	5.516014235	10.4580114125
B02_D1__10_14	0.0	0.0	36.587970102999996	32.9224533675	21.520939613	24.380411413	7.788587021	8.532599221
B02_D1__10_15	0.0	0.0	11.401115933	12.574423029999998	18.837569746	15.925761109499998	9.147551147	7.693960226000001
B02_D1__10_16	0.0	0.0	18.271772281	16.5652987565	15.2761775665	16.394031546500003	3.9173161640000003	4.4195294745
B02_D1__10_17	0.0	0.0	17.013844786	14.261019197	17.029721834	15.776553422500001	4.788517719	4.4716153065
B02_D1__10_18	0.0	0.0	5.321851186	6.24838036	12.762530202999999	11.344339263	5.867046651	7.6233594
B02_D1__10_19	0.0	0.0	0.82639679	2.546922773	18.863404994	17.551969806	20.15090724	16.89366122
B02_D1__10_20	0.0	0.0	0.011251125	0.4304309855	9.597209720999999	12.1879202075	5.4117911795	8.654365998
B02_D1__10_21	0.0	0.0	0.39818372350000003	0.31249466400000003	11.4215857495	13.1486825705	12.088718128	9.754785608
B02_D1__10_22	0.0	0.0	0.0448856735	0.651033315	15.477636373	15.911510782	15.1581559905	13.281079625
B02_D1__10_23	0.0	0.0	0.5522747155	1.7411601634999998	12.778871391500001	14.1803535935	15.925743657	16.875457683999997
B02_D1__10_24	0.0	0.0	26.342897206499998	18.1118586495	10.319814475000001	10.247126512000001	2.7720849960000002	3.868181639
B02_D1__10_3	0.0	0.0	6.620473123	6.7061208905	9.854923401499999	11.134517399	17.246792616	23.241346622000002
B02_D1__10_4	0.0	0.0	6.50060024	9.816843922	8.157262905	8.4051377325	11.068427370999999	12.534195474
B02_D1__10_5	0.0	0.0	6.16446995	6.509302362	5.5527527275	5.906647231	4.4712114519999995	11.059387784
B02_D1__10_6	0.0	0.0	9.7982277575	8.3560927425	7.490120943500001	6.6491370795	10.666387259	10.0223720145
B02_D1__10_7	0.0	0.0	9.691616008	7.354084997499999	10.261524823	10.143270487	13.101570415	13.029680791499999
B02_D1__10_8	0.0	0.0	6.620702113500001	8.769401817	10.1011621605	9.734921076	16.583368459	11.4231168715
B02_D1__10_9	0.0	0.0	9.3275819875	10.384267564	14.5649779735	14.149111233	14.7209985315	12.8496879305
B02_D1__11_14	0.0	0.0	16.0476923955	30.3292163725	20.990929317	31.510910649	0.44497689549999997	2.885385491
B02_D1__11_15	0.0	0.0	35.570086337999996	35.703202144	38.042788217	32.6131251865	2.3996952769999997	3.2554348675
B02_D1__11_16	0.0	0.0	28.524295141000003	34.202509550500004	23.775244950999998	31.4426623635	3.545957475	4.659300486999999
