	AB	AS	D	N
B02_D1__10_10	0.0	1459.412031981	18.60799343	11.1175745965
B02_D1__10_14	0.0	737.739626344	24.053861668499998	6.872108197999999
B02_D1__10_15	0.0	388.1616393865	19.572225666499996	9.209547427499999
B02_D1__10_16	0.0	707.901686854	18.42087428	2.836326669
B02_D1__10_17	0.0	389.31151534599996	15.978661247	4.00736695
B02_D1__10_18	0.0	353.983926555	14.066662535999999	10.343225327
B02_D1__10_19	0.0	233.080436307	17.210611414000002	23.672076171999997
B02_D1__10_20	0.0	146.44906394	15.2874662465	10.469171917
B02_D1__10_21	0.0	120.39623807150001	12.892071254	10.695075096
B02_D1__10_22	0.0	252.258513322	15.773353752	15.08686698
B02_D1__10_23	0.0	194.02941444	12.8034776905	17.470472441
B02_D1__10_24	0.0	160.162509846	7.822780714	2.869161903
B02_D1__10_3	0.0	399.6298798015	9.784550424999999	20.716721702
B02_D1__10_4	0.0	504.72454697300003	10.255102041	12.424969987999999
B02_D1__10_5	0.0	426.031295192	5.9342876965	12.42984171
B02_D1__10_6	0.0	425.92130797050004	7.1877619445	9.522811639499999
B02_D1__10_7	0.0	359.2750395625	10.3406788245	16.369047619
B02_D1__10_8	0.0	504.802933843	12.1876317215	14.584211477
B02_D1__10_9	0.0	575.4031116855	13.059838473	13.408590308499999
B02_D1__11_14	0.0	428.8083353845	17.7705516575	0.3651092475
B02_D1__11_15	0.0	704.019787347	26.2982478415	2.904393093
B02_D1__11_16	0.0	697.2350088630001	29.924015196999996	4.652402853000001
B02_D1__11_17	0.0	493.5736835945	23.819276361	0.24824675699999998
B02_D1__11_18	0.0	454.07214428149996	10.791826309000001	0.32232561000000004
B02_D1__11_19	0.0	320.676364713	12.329982259000001	6.729745713
B02_D1__11_2	0.0	598.6552019585	2.9549718575000004	4.8035536914999994
B02_D1__11_20	0.0	222.9958529575	16.764036652	14.559375192000001
B02_D1__11_21	0.0	152.69982616200002	11.607720826000001	10.845642323
B02_D1__11_22	0.0	121.629833854	11.245636997999998	8.147905759
B02_D1__11_23	0.0	175.602140813	16.0437086715	19.9057355905
B02_D1__11_24	0.0	326.4279762865	9.400036142	9.270525872
B02_D1__11_25	0.0	518.804955408	1.8630874020000001	0.8442561959999999
B02_D1__11_3	0.0	290.6098297685	9.046088472500001	21.821202876499996
B02_D1__11_4	0.0	411.738148052	12.827077999	17.242240679000002
B02_D1__11_5	0.0	360.9959148965	12.296074433000001	21.9219984705
B02_D1__11_6	0.0	512.0291448055	7.060798868999999	8.513019913
B02_D1__11_7	0.0	303.1302391295	8.6137922275	12.515875032
B02_D1__11_8	0.0	498.0910237655	11.984697956000002	9.9406189335
B02_D1__11_9	0.0	1438.5185776905	21.5579181025	14.670833576500002
B02_D1__12_14	0.0	533.115625455	14.628297362	0.228654286
B02_D1__12_15	0.0	529.1248500185	6.2471922730000005	0.0701931715
B02_D1__12_16	0.0	570.0467875075001	7.43669916	2.3787627980000003
B02_D1__12_17	0.0	490.192764095	12.909047160999998	1.5760346490000001
B02_D1__12_19	0.0	398.87801531800005	15.417753089000001	0.255073121
B02_D1__12_2	0.0	487.3374546235	3.4120734905	3.1933508315
B02_D1__12_20	0.0	276.104798398	15.6318526405	9.1598270785
B02_D1__12_21	0.0	149.98858348599998	16.018512353000002	14.7466204965
B02_D1__12_22	0.0	104.91952835449999	10.215982721500001	6.9762419005
B02_D1__12_23	0.0	135.90755104099998	18.7054085155	13.5241657075
B02_D1__12_24	0.0	176.303760068	15.226551526999998	19.770587317
B02_D1__12_25	0.0	1435.0545359855	9.896195623	4.577558992
B02_D1__12_3	0.0	326.235687987	8.6721224925	18.5982048575
B02_D1__12_4	0.0	241.675492762	13.875284019499999	22.691239586
B02_D1__12_5	0.0	313.6402956525	11.867251367000001	14.214173569500002
B02_D1__12_6	0.0	380.77299044100005	10.915687842	10.645101777
B02_D1__12_7	0.0	434.48777387050006	11.391314018500001	10.4181727185
B02_D1__12_8	0.0	470.0044977405	17.48905455	12.007454739
B02_D1__13_13	0.0	1170.0100575865	37.664647363	9.0035013615
B02_D1__13_14	0.0	492.28652398400004	14.705516898499999	0.8231858845000001
B02_D1__13_15	0.0	642.5664750594999	6.654343807499999	1.614487061
B02_D1__13_16	0.0	572.1827633400001	3.289191343	0.23297161450000003
B02_D1__13_17	0.0	375.500970355	4.881141980500001	0.07963192350000001
B02_D1__13_19	0.0	558.200586929	18.273556231	1.17325228
B02_D1__13_2	0.0	772.5150629135001	6.4772789415	4.5742877455
B02_D1__13_20	0.0	425.80801055349997	13.3952415635	4.4033746055
B02_D1__13_21	0.0	282.1684491325	14.764403945	11.932637407000001
B02_D1__13_22	0.0	114.750062638	12.875303437	8.3141689025
B02_D1__13_23	0.0	101.8127402605	12.5111071615	7.7572418695000005
B02_D1__13_24	0.0	108.776040371	20.4816096675	21.088754619499998
B02_D1__13_25	0.0	343.654958152	11.690444145499999	12.7456258415
B02_D1__13_3	0.0	546.9009932275001	8.607272239	17.724406279
B02_D1__13_4	0.0	363.07651108600004	11.663768116	24.205797101500004
B02_D1__13_5	0.0	313.03388499950006	13.883378419	20.4508566275
B02_D1__13_6	0.0	496.1219442575	10.222770669500001	7.365071117499999
B02_D1__13_7	0.0	670.2071278155	14.385830785	8.8143476045
B02_D1__13_8	0.0	1407.4056915310002	14.6086956525	7.030100334499999
B02_D1__14_12	0.0	689.6856360625	20.4209427725	1.927871514
B02_D1__14_13	0.0	362.1239474335	18.5627096275	0.137460824
B02_D1__14_14	0.0	240.180680452	18.9112727725	0.1834234905
B02_D1__14_15	0.0	488.66915702200004	14.0499051685	0.5808440020000001
B02_D1__14_16	0.0	528.602157196	3.8396766585	0.8083529805
B02_D1__14_17	0.0	480.23523458400007	7.3376423514999995	3.9858417975
B02_D1__14_18	0.0	314.8702689795	24.539859489999998	55.248795215499996
B02_D1__14_19	0.0	596.698157735	10.880794702	5.622516556
B02_D1__14_2	0.0	429.3998853935	7.6146053910000004	2.7385108455000005
B02_D1__14_20	0.0	736.69319384	15.402781422	0.7642351085000001
B02_D1__14_21	0.0	470.28178169500006	16.220477959	6.675310113
B02_D1__14_22	0.0	149.2297890745	19.516317016499997	14.1258741255
B02_D1__14_23	0.0	108.135890536	9.5469940725	5.7033990564999995
B02_D1__14_24	0.0	119.9328909515	17.5727891155	14.9659863945
B02_D1__14_25	0.0	177.18024774650002	15.131251555499999	21.0780044785
B02_D1__14_26	0.0	555.4911133825	10.2275725595	3.1596306070000004
B02_D1__14_3	0.0	316.38323054849997	5.286475683	7.668221186
B02_D1__14_4	0.0	312.419638497	6.2540448315	9.339883509
B02_D1__14_5	0.0	336.99008541700005	8.3482684855	13.837659709499999
B02_D1__14_6	0.0	434.268254062	14.4284547225	9.529944071
B02_D1__14_7	0.0	1359.088975002	14.7484575225	6.422045562499999
B02_D1__15_11	0.0	389.6986659075	11.464040098000002	4.8461359134999995
B02_D1__15_12	0.0	202.151650345	9.298033475499999	0.19410679050000001
B02_D1__15_13	0.0	417.010337511	9.2022630835	7.5332390380000005
B02_D1__15_14	0.0	435.153991494	9.9126891735	2.016880093
B02_D1__15_15	0.0	491.466876035	16.729684311499998	3.0548553595
B02_D1__15_16	0.0	714.5077235250001	16.739240187	1.965795784
B02_D1__15_17	0.0	308.33829312750004	11.401346038499998	16.7088691945
B02_D1__15_18	0.0	358.8471290095	3.5086128739999998	0.40495618
B02_D1__15_19	0.0	374.47198307199994	6.3400667045	0.9187590459999999
B02_D1__15_20	0.0	693.2216987505	8.983380244	6.011258544500001
B02_D1__15_21	0.0	562.4615827635	11.9491255965	1.3004769475
B02_D1__15_22	0.0	327.35262290599997	16.1675692895	10.6721885955
B02_D1__15_23	0.0	117.767764105	9.399099266	6.7555062
B02_D1__15_24	0.0	88.1381244175	10.3136968815	8.1555109735
B02_D1__15_25	0.0	130.312506319	13.135901163	16.6636385655
B02_D1__15_26	0.0	1030.1456668649998	8.5571116535	5.2197096235
B02_D1__15_3	0.0	300.8521869185	11.1026453735	10.203584055
B02_D1__15_4	0.0	296.680640497	11.8431171495	17.1718790055
B02_D1__15_5	0.0	306.0439848495	10.905299313	10.227551521
B02_D1__15_6	0.0	463.23192695	16.429321433	8.856149101
B02_D1__16_10	0.0	284.06977979249996	9.459803797	0.487323226
B02_D1__16_11	0.0	483.91476873350007	9.885907324	2.9415514055000003
B02_D1__16_12	0.0	814.7871754225	16.4304477975	2.4619707985
B02_D1__16_13	0.0	518.4120417215	15.5090497735	1.134049774
B02_D1__16_14	0.0	445.6732583375	15.586034912999999	3.5754364090000004
B02_D1__16_15	0.0	441.477299116	14.3952586935	3.8256277735
B02_D1__16_16	0.0	751.3160606890001	20.615041857999998	15.284904132
B02_D1__16_17	0.0	764.1057025185	20.0494584615	7.606586114
B02_D1__16_18	0.0	583.3064702805	15.902232951	30.684972842500002
B02_D1__16_19	0.0	377.319958087	3.168503937	0.557480315
B02_D1__16_20	0.0	637.4679844815	6.151866152	1.4478764480000001
B02_D1__16_21	0.0	803.0944438690001	15.028881375000001	2.310510003
B02_D1__16_22	0.0	467.09657861249997	15.1400200825	1.2997880175
B02_D1__16_23	0.0	216.562568494	12.958708663	7.874372771
B02_D1__16_24	0.0	117.58000609999999	9.9931377595	3.9429290330000004
B02_D1__16_25	0.0	151.818809529	21.1351186855	16.640292148500002
B02_D1__16_26	0.0	305.5710647965	13.8184201905	12.071451983
B02_D1__16_27	0.0	770.3528511825	3.364039577	0.641419311
B02_D1__16_3	0.0	304.8638080025	6.728996576	15.736107452999999
B02_D1__16_4	0.0	216.0687972885	7.195820694	17.8940568475
B02_D1__16_5	0.0	315.726654329	11.8116284565	15.75868589
B02_D1__16_6	0.0	386.4168591215	17.145365609000002	13.1851247965
B02_D1__17_10	0.0	201.24775899	9.775598842	0.0
B02_D1__17_11	0.0	336.537747991	12.283253479499999	0.9639516315000001
B02_D1__17_12	0.0	88.72576942699999	14.084871485499999	5.301592778
B02_D1__17_13	0.0	189.8278090925	12.404349577000001	2.275473218
B02_D1__17_14	0.0	166.9648428255	10.6961822265	1.7420596725000002
B02_D1__17_15	0.0	333.66824689500004	16.752182118500002	2.2381457890000003
B02_D1__17_16	0.0	661.5086239184999	15.357674188	8.055417803500001
B02_D1__17_17	0.0	562.3419133555	9.87778126	3.0523346909999995
B02_D1__17_18	0.0	504.47239262100004	5.279928528999999	11.712328767
B02_D1__17_19	0.0	529.9660405960001	2.2797504515	0.0087458455
B02_D1__17_20	0.0	674.281029323	5.998101866500001	0.3764631445
B02_D1__17_21	0.0	801.2906013455001	7.8338684745	7.7060292545
B02_D1__17_22	0.0	682.2506796719999	7.38516121	1.0021162705000002
B02_D1__17_23	0.0	285.30778906750004	13.103815550499998	7.430612117000001
B02_D1__17_24	0.0	120.685993846	11.423057769	8.1984561755
B02_D1__17_25	0.0	89.171497943	9.7127260695	9.260586678500001
B02_D1__17_26	0.0	214.929226765	16.856628674499998	14.6280743855
B02_D1__17_27	0.0	315.052981814	6.1730021740000005	1.983002833
B02_D1__17_3	0.0	660.086252314	5.317777491	13.507154827499999
B02_D1__17_4	0.0	204.1164959975	10.1161003925	10.483182516500001
B02_D1__17_5	0.0	394.082929896	16.0880223475	13.3715295595
B02_D1__17_6	0.0	525.9649786279999	17.8937943385	17.566636821
B02_D1__17_8	0.0	354.7996497775	13.912465163500002	0.5447175065000001
B02_D1__17_9	0.0	199.06677791250002	9.3377236585	0.2671471175
B02_D1__18_10	0.0	171.70304389300003	8.334923968	4.2788063874999995
B02_D1__18_11	0.0	89.5372183465	12.532907108	5.8794032845
B02_D1__18_12	0.0	147.6920025445	7.8620222785	2.332451228
B02_D1__18_13	0.0	530.7419578859999	9.0823195935	2.2410535014999997
B02_D1__18_14	0.0	248.75032489749998	14.242089533	3.089467871
B02_D1__18_15	0.0	330.28805868899997	11.3001797485	0.302576393
B02_D1__18_16	0.0	96.2593615635	7.1980384255	5.3002821445
B02_D1__18_17	0.0	115.92798476749999	10.398285075	4.305952529
B02_D1__18_18	0.0	540.0606501005	18.78869364	13.385654430999999
B02_D1__18_19	0.0	613.399153191	4.8566978195	5.1900311525
B02_D1__18_20	0.0	584.6562022630001	2.972781674	0.36033717249999997
B02_D1__18_21	0.0	624.8586711845	4.399017625000001	0.42256573250000007
B02_D1__18_22	0.0	825.417442334	38.8350614765	38.9682134965
B02_D1__18_23	0.0	550.9320040140001	13.2852760735	2.061349693
B02_D1__18_24	0.0	143.2645073695	15.294251825	11.288207117
B02_D1__18_25	0.0	111.2262002155	9.013572930999999	11.368125916
B02_D1__18_26	0.0	114.730405252	19.013181985	13.477968997999998
B02_D1__18_27	0.0	812.5442382475	8.2474964235	3.9306151645000003
B02_D1__18_4	0.0	367.533483462	14.711088272	21.502797762
B02_D1__18_5	0.0	327.5790834965	18.631585381	16.9141914195
B02_D1__18_6	0.0	683.635138826	15.7666471015	8.612143741999999
B02_D1__18_8	0.0	270.7003667125	9.1714285715	0.8888888890000001
B02_D1__18_9	0.0	211.5527337875	7.7874075965	0.012745348
B02_D1__19_10	0.0	95.581468942	11.5848572345	10.0545396215
B02_D1__19_11	0.0	101.461399401	13.072275157	4.2906112015
B02_D1__19_12	0.0	404.164229432	11.402821316499999	4.379672052
B02_D1__19_13	0.0	111.51416548700001	9.807284011	5.449398443
B02_D1__19_14	0.0	71.2505444405	5.638923778500001	3.0706683415000002
B02_D1__19_15	0.0	117.07575628650001	11.46066128	5.1343762535
B02_D1__19_16	0.0	206.79900811700003	14.199862637499999	3.4718406594999998
B02_D1__19_17	0.0	97.180819305	8.8691215905	3.5057884754999997
B02_D1__19_18	0.0	323.247764471	13.486450966500001	4.0083860065
B02_D1__19_19	0.0	500.9369431425	23.205657042	37.433706541
B02_D1__19_20	0.0	728.3295738124999	3.1060205969999997	0.5446263535
B02_D1__19_21	0.0	745.4385487285	7.2122972035	1.5560886305000001
B02_D1__19_22	0.0	576.0561702370001	6.887948459	13.763264275000001
B02_D1__19_23	0.0	534.209088306	15.493473628499999	1.325253063
B02_D1__19_24	0.0	184.5402843865	14.2037082515	11.189219057
B02_D1__19_25	0.0	91.61309847199999	12.7137341425	11.494760066
B02_D1__19_26	0.0	89.907800676	22.3566084785	13.715710723499999
B02_D1__19_27	0.0	798.580227635	13.6983408745	13.58974359
B02_D1__19_4	0.0	439.0456524985	9.878547042000001	14.39525382
B02_D1__19_5	0.0	321.379953112	24.278831677	10.213791027
B02_D1__19_7	0.0	255.724359939	10.264587017	0.214700682
B02_D1__19_8	0.0	299.74533391800003	8.000132837	0.9730340065
